Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value,Cluster 5 Mean Counts,Cluster 5 Log2 fold change,Cluster 5 Adjusted p value,Cluster 6 Mean Counts,Cluster 6 Log2 fold change,Cluster 6 Adjusted p value,Cluster 7 Mean Counts,Cluster 7 Log2 fold change,Cluster 7 Adjusted p value,Cluster 8 Mean Counts,Cluster 8 Log2 fold change,Cluster 8 Adjusted p value,Cluster 9 Mean Counts,Cluster 9 Log2 fold change,Cluster 9 Adjusted p value,Cluster 10 Mean Counts,Cluster 10 Log2 fold change,Cluster 10 Adjusted p value
ENSG00000241860,AL627309.5,0,0.9253351795106557,1,0.0008483632772717893,2.996942317565571,1,0,1.8145576324613621,1,0,3.3434485194218553,1,0,1.4814303903144577,1,0,2.3895861785679546,1,0,2.5341380737602694,1,0,3.6254136693084096,1,0,2.8797185442265913,1,0,11.167073223922259,1
ENSG00000237491,LINC01409,0,-1.0746648204893443,1,0.0008483632772717893,0.18958739550796544,1,0.0013663455702703142,1.0072027104037566,1,0,1.3434485194218553,1,0.002238819290564576,1.4814303903144577,1,0,0.38958617856795463,1,0.004283302924159194,2.5341380737602694,1,0.0043804069088695715,2.818058747250806,0.8689111634891136,0,0.8797185442265913,1,0,9.167073223922259,1
ENSG00000228794,LINC01128,0,-1.6596273212105004,1,0.0016967265545435786,0.2599767233993653,1,0.0027326911405406284,1.0775920382951547,1,0.003630319368870217,1.8840169007845597,1,0,-1.1035321104066984,1,0.003906649758615318,1.6526205844017472,1,0.002141651462079597,1.0747064551229721,1,0,1.0404511685872535,1,0.00803004713155985,2.709793542784279,1,0,8.582110723201103,1
ENSG00000230368,FAM41C,0.0016309728808962549,2.5102976802318118,1,0,-0.0030576824344290543,1,0,0.8145576324613621,1,0,2.3434485194218553,1,0,0.48143039031445767,1,0.001953324879307659,2.804623677846797,1,0,1.5341380737602694,1,0,2.6254136693084096,1,0,1.8797185442265913,1,0,10.167073223922259,1
ENSG00000272438,AL645608.6,0.0016309728808962549,0.18836958534445003,1,0.002545089831815368,0.8270173161232588,1,0.004099036710810943,1.6446326310190482,1,0.003630319368870217,1.8840169007845597,1,0,-1.1035321104066984,1,0,-0.19537632215320322,1,0,-0.050824426960886626,1,0.0043804069088695715,2.1659820506711114,1,0.002676682377186617,1.4202869255892931,1,0,8.582110723201103,1
ENSG00000230699,AL645608.2,0,-0.07466482048934431,1,0,-0.0030576824344290543,1,0,0.8145576324613621,1,0,2.3434485194218553,1,0.001119409645282288,1.8964678895933016,1,0.001953324879307659,2.804623677846797,1,0,1.5341380737602694,1,0,2.6254136693084096,1,0.002676682377186617,3.2947560435054353,1,0,10.167073223922259,1
ENSG00000241180,AL645608.4,0,0.3403726787894996,1,0,0.41197981684441487,1,0.0013663455702703142,2.814557632461362,1,0,2.758486018700699,1,0,0.8964678895933016,1,0.001953324879307659,3.3895861785679546,1,0,1.9491755730391134,1,0,3.0404511685872535,1,0,2.2947560435054353,1,0,10.582110723201103,1
ENSG00000223764,LINC02593,0.0008154864404481274,0.9253351795106557,1,0.0008483632772717893,0.996942317565571,1,0,0.49262953757399863,1,0,2.0215204245344935,1,0,0.15950229542709593,1,0,1.0676580836805911,1,0,1.2122099788729077,1,0,2.303485574421048,1,0.005353364754373234,3.8797185442265913,1,0,9.845145129034897,1
ENSG00000187634,SAMD11,0.013047783047170039,-0.19665534486795444,1,0.013573812436348628,-0.1250482068130392,1,0.01639614684324377,0.22959513174020607,1,0.007260638737740434,-0.5310205984942851,1,0.01567173503395203,0.14039347247939205,1,0.023439898551691908,0.8046236778467977,1,0.01284990877247758,-0.050824426960886626,1,0.013141220726608715,0.18247017345968164,1,0.021413459017492937,0.6920915410508197,1,0,5.675220127592585,1
ENSG00000188976,NOC2L,0.02854202541568446,0.3948204628118761,1,0.02460253504088189,0.1224731996494306,1,0.024594220264865654,0.14362190863035185,1,0.02541223558209152,0.2990544000634028,1,0.021268783260363473,-0.10353211040669752,1,0.031253198068922544,0.534534514479053,1,0.01284990877247758,-0.7137894396833167,1,0.013141220726608715,-0.4620491719419304,1,0.013383411885933085,-0.6014081455100255,1,0,5.048132151198753,1
ENSG00000187961,KLHL17,0.0008154864404481274,0.3403726787894996,1,0.0008483632772717893,0.41197981684441487,1,0,0.00720271040375664,1,0.003630319368870217,2.7584860187007,0.9861073195741895,0.002238819290564576,1.744464796148252,1,0.001953324879307659,1.8046236778467968,1,0,0.7267831517026657,1,0,1.8180587472508059,1,0,1.0723636221689876,1,0,9.359718301864655,1
ENSG00000187583,PLEKHN1,0,-0.882019742546948,1,0.0008483632772717893,0.41197981684441487,1,0.0013663455702703142,1.229595131740206,1,0,1.5360935973642516,1,0.001119409645282288,0.8964678895933016,1,0.003906649758615318,2.652620584401747,1,0,0.7267831517026657,1,0.0043804069088695715,3.0404511685872535,0.821023868862703,0,1.0723636221689876,1,0,9.359718301864655,1
ENSG00000272512,AL645608.7,0.0016309728808962549,1.9253351795106557,1,0,-0.32498577732179257,1,0.0013663455702703142,1.8145576324613621,1,0,2.0215204245344935,1,0.001119409645282288,1.4814303903144577,1,0,1.0676580836805911,1,0,1.2122099788729077,1,0,2.303485574421048,1,0,1.5577904493392278,1,0,9.845145129034897,1
ENSG00000188290,HES4,0.017125215249410675,0.384766798147953,1,0.008483632772717893,-0.7724447542930122,1,0.02732691140540628,1.1845072422116676,1,0.003630319368870217,-1.0488689033569036,1,0.019029963969798898,0.5638925505064316,1,0.007813299517230636,-0.6283357294293079,1,0.008566605848318387,-0.4837838342369931,1,0.0043804069088695715,-0.7669037534703511,1,0.0160600942631197,0.38329271810709287,1,0,5.757682287784558,1
ENSG00000187608,ISG15,0.005708405083136892,0.01844458390213788,1,0.003393453109087157,-0.7255237069055198,1,0.004099036710810943,-0.27290520878897784,1,0.003630319368870217,0.17352351797954402,1,0.006716457871693728,0.3345890019851874,1,0.009766624396538295,0.9745486792891098,1,0.002141651462079597,-0.6357869276820436,1,0.008760813817739143,1.0810931530845993,1,0.01873677664030632,1.9728279486180726,1,0,6.95761985829331,1
ENSG00000188157,AGRN,0.004077432202240637,-0.6189853367131546,1,0.01187708588180505,1.203393195032998,1,0.008198073421621885,0.5344497132686259,1,0.01089095810661065,1.133995153792907,1,0.003358228935846864,-0.7280229753144907,1,0.007813299517230636,0.5415892720130042,1,0,-1.7877900211270932,1,0.013141220726608715,1.4159603036794595,0.8307287526993621,0.002676682377186617,-0.40568367463565735,1,0,6.845145129034898,1
ENSG00000131591,C1orf159,0.005708405083136892,-0.28411818611829354,1,0.01187708588180505,0.9969423175655718,1,0.004099036710810943,-0.5429943721567225,1,0.007260638737740434,0.5360935973642524,1,0.007835867516976016,0.2719770246855093,1,0.003906649758615318,-0.41776874348965,1,0.00642495438623879,0.17658606914218478,1,0.02190203454434786,1.924973951167317,0.5656633861505864,0,-1.5797130744107069,1,0,6.707641605284962,1
ENSG00000285812,AL390719.3,0,-0.07466482048934431,1,0,-0.0030576824344290543,1,0,0.8145576324613621,1,0,2.3434485194218553,1,0.001119409645282288,1.8964678895933016,1,0.001953324879307659,2.804623677846797,1,0,1.5341380737602694,1,0.0043804069088695715,4.0404511685872535,0.6628147291944793,0,1.8797185442265913,1,0,10.167073223922259,1
ENSG00000162571,TTLL10,0,0.9253351795106557,1,0.0008483632772717893,2.996942317565571,1,0,1.8145576324613621,1,0,3.3434485194218553,1,0,1.4814303903144577,1,0,2.3895861785679546,1,0,2.5341380737602694,1,0,3.6254136693084096,1,0,2.8797185442265913,1,0,11.167073223922259,1
ENSG00000078808,SDF4,0.02528007965389195,0.22489546136956395,1,0.02290580848633831,0.04940973745970645,1,0.021861529124325027,0.0072027104037575285,1,0.018151596844351085,-0.09395679288544212,1,0.02238819290564576,0.028257762148843568,1,0.023439898551691908,0.1475113913698065,1,0.021416514620795968,0.027785407735478884,1,0.02628244145321743,0.42154133594275933,1,0.01873677664030632,-0.12028145577340954,1,0,5.090257626871429,1
ENSG00000176022,B3GALT6,0.013047783047170039,0.655246016142911,1,0.009331996049989681,0.058342862229714854,1,0.009564418991892198,0.1707014426866369,1,0.003630319368870217,-0.46390640263574756,1,0.007835867516976016,-0.1624257994602658,1,0.011719949275845954,0.5245157586540632,1,0.008566605848318387,0.12814571408443243,1,0.008760813817739143,0.4290164565049057,1,0.005353364754373234,-0.3166786685769125,1,0,6.334183209757518,1
ENSG00000160087,UBE2J2,0.01957167457075506,0.6865483199235394,1,0.014422175713620417,0.12247319964942971,1,0.00683172785135157,-0.8858820856797305,1,0.018151596844351085,0.6430088012807644,1,0.01679114467923432,0.39396754906411946,1,0.011719949275845954,-0.06984544006934268,1,0.008566605848318387,-0.4477145795294719,1,0.0043804069088695715,-0.7321383353096742,1,0.013383411885933085,0.17927882608549872,1,0,5.792033792575335,1
ENSG00000230415,LINC01786,0,0.3403726787894996,1,0,0.41197981684441487,1,0,1.229595131740206,1,0,2.758486018700699,1,0.001119409645282288,2.4814303903144577,1,0,1.8046236778467968,1,0,1.9491755730391134,1,0.0043804069088695715,4.62541366930841,0.5962930590561356,0,2.2947560435054353,1,0,10.582110723201103,1
ENSG00000162572,SCNN1D,0,0.3403726787894996,1,0,0.41197981684441487,1,0,1.229595131740206,1,0,2.758486018700699,1,0.001119409645282288,2.4814303903144577,1,0,1.8046236778467968,1,0.002141651462079597,3.5341380737602686,1,0,3.0404511685872535,1,0,2.2947560435054353,1,0,10.582110723201103,1
ENSG00000131584,ACAP3,0.0008154864404481274,-0.882019742546948,1,0.003393453109087157,0.8594387938156363,1,0.0013663455702703142,0.00720271040375664,1,0.003630319368870217,1.5360935973642524,1,0.00559704822641144,1.744464796148253,1,0,-0.517304417040565,1,0,-0.37275252184824836,1,0,0.7185230736998918,1,0.005353364754373234,1.7642413268066548,1,0,8.260182628313741,1
ENSG00000169972,PUSL1,0.008154864404481274,0.4305704877610781,1,0.009331996049989681,0.6750142226782092,1,0.00683172785135157,0.22959513174020518,1,0,-1.0141034851962285,1,0.007835867516976016,0.39396754906411946,1,0.003906649758615318,-0.3108535395731389,1,0,-1.8234139308578143,1,0.0043804069088695715,0.30348557442104696,1,0.010706729508746468,0.9921932734850039,1,0,6.809521219304176,1
ENSG00000127054,INTS11,0.01630972880896255,0.45967160716184363,1,0.009331996049989681,-0.48418437217104504,1,0.015029801272973455,0.33343094272474527,1,0.01089095810661065,0.11462982892597573,1,0.01119409645282288,-0.14660083229858323,1,0.023439898551691908,1.045631777350593,1,0.00642495438623879,-0.6946806167356119,1,0.008760813817739143,-0.037551343414019556,1,0.013383411885933085,0.27485648606772983,1,0,5.881671005060012,1
ENSG00000224051,CPTP,0.004077432202240637,0.5102976802318118,1,0.003393453109087157,0.2314075712025936,1,0.004099036710810943,0.6446326310190482,1,0,-0.048868903356904525,1,0.001119409645282288,-0.8404977045729041,1,0.009766624396538295,1.9745486792891107,1,0.004283302924159194,0.8711730610378403,1,0,0.23309624652964978,1,0,-0.5125988785521685,1,0,7.7747558011435,1
