Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
ENSG00000241860,AL627309.5,0.00018757397208181474,-2.260335632932442,1,0,2.260335632932442,1
ENSG00000237491,LINC01409,0.0011254438324908884,-1.4529807108748383,0.9349757468586349,0.0018002427662226859,1.4529807108748383,0.9349757468586349
ENSG00000228794,LINC01128,0.0016881657487363326,-1.5233700387662363,0.714231790555055,0.0036004855324453717,1.5233700387662363,0.714231790555055
ENSG00000230368,FAM41C,0.0005627219162454442,-1.260335632932442,1,0,1.260335632932442,1
ENSG00000272438,AL645608.6,0.0016881657487363326,-1.5233700387662363,0.714231790555055,0.0036004855324453717,1.5233700387662363,0.714231790555055
ENSG00000230699,AL645608.2,0.0005627219162454442,-1.260335632932442,1,0,1.260335632932442,1
ENSG00000241180,AL645608.4,0.0003751479441636295,-1.675373132211286,1,0,1.675373132211286,1
ENSG00000223764,LINC02593,0.000750295888327259,-0.9384075380450803,1,0,0.9384075380450803,1
ENSG00000187634,SAMD11,0.015568639682790623,0.3246268677887141,1,0.010801456597336116,-0.3246268677887141,1
ENSG00000188976,NOC2L,0.023634320482308655,0.027909335698631743,1,0.02160291319467223,-0.027909335698631743,1
ENSG00000187961,KLHL17,0.0009378698604090737,-1.675373132211286,0.8274411025318759,0.0018002427662226859,1.675373132211286,0.8274411025318993
ENSG00000187583,PLEKHN1,0.0009378698604090737,-1.675373132211286,0.8723133865515071,0.0018002427662226859,1.675373132211286,0.8723133865515071
ENSG00000272512,AL645608.7,0.000750295888327259,-0.9384075380450803,1,0,0.9384075380450803,1
ENSG00000188290,HES4,0.015005917766545179,0.7575862750648206,0.8292528990284802,0.007200971064890743,-0.7575862750648206,0.8292528990284802
ENSG00000187608,ISG15,0.006189941078699886,-0.1728727916821029,1,0.005400728298668058,0.1728727916821029,1
ENSG00000188157,AGRN,0.006189941078699886,-0.9802277137397066,0.6470852000105926,0.010801456597336116,0.9802277137397066,0.6470852000105926
ENSG00000131591,C1orf159,0.0067526629949453305,-1.0508822673034928,0.5725726953665582,0.0126016993635588,1.0508822673034928,0.5725726953665582
ENSG00000285812,AL390719.3,0.00018757397208181474,-3.845298133653598,0.3491937978816168,0.0036004855324453717,3.845298133653598,0.3491937978814581
ENSG00000162571,TTLL10,0.00018757397208181474,-2.260335632932442,1,0,2.260335632932442,1
ENSG00000078808,SDF4,0.022884024593981398,-0.01826084573429476,1,0.02160291319467223,0.01826084573429476,1
ENSG00000176022,B3GALT6,0.009941420520336182,0.49455186923102534,1,0.005400728298668058,-0.49455186923102534,1
ENSG00000160087,UBE2J2,0.014068047906136106,-0.012408119488857672,1,0.0126016993635588,0.012408119488857672,1
ENSG00000230415,LINC01786,0.00018757397208181474,-3.260335632932442,0.5725726953665582,0.0018002427662226859,3.260335632932442,0.5725726953665582
ENSG00000162572,SCNN1D,0.0003751479441636295,-1.675373132211286,1,0,1.675373132211286,1
ENSG00000131584,ACAP3,0.0024384616370635914,-0.45298071087483827,1,0.0018002427662226859,0.45298071087483827,1
ENSG00000169972,PUSL1,0.007315384911190775,1.0615924619549197,0.7767347867307488,0.0018002427662226859,-1.0615924619549197,0.7767347867309253
ENSG00000127054,INTS11,0.013317752017808847,0.10223444645226643,1,0.010801456597336116,-0.10223444645226643,1
ENSG00000224051,CPTP,0.0037514794416362946,1.1319817898463178,0.7296219137081125,0,-1.1319817898463178,0.7296219137081125
ENSG00000107404,DVL1,0.0018757397208181473,0.19909598570485443,1,0,-0.19909598570485443,1
ENSG00000175756,AURKAIP1,0.11760888049529784,1.3904289261844598,0.35266974846549226,0.04320582638934446,-1.3904289261844598,0.35266974846549226
ENSG00000221978,CCNL2,0.005814793134536257,-1.2603356329324429,0.5498240149282979,0.0126016993635588,1.2603356329324429,0.5498240149282979
ENSG00000224870,MRPL20-AS1,0.002813609581227221,-0.260335632932442,1,0.0018002427662226859,0.260335632932442,1
ENSG00000242485,MRPL20,0.08572130524138934,1.1194365365272039,0.46301244270651526,0.037805098090676406,-1.1194365365272039,0.46301244270651526
ENSG00000272455,AL391244.2,0.0003751479441636295,-1.675373132211286,1,0,1.675373132211286,1
ENSG00000179403,VWA1,0.0031887575253908506,-1.0904106314901298,0.7365568117158459,0.005400728298668058,1.0904106314901298,0.7365568117156783
ENSG00000160072,ATAD3B,0.00018757397208181474,-2.260335632932442,1,0,2.260335632932442,1
ENSG00000197785,ATAD3A,0.008440828743681662,0.6782638224034141,0.9666069407535425,0.0036004855324453717,-0.6782638224034141,0.9666069407535425
ENSG00000160075,SSU72,0.06527574228447153,0.6017850925560535,0.8569223771149599,0.04140558362312177,-0.6017850925560535,0.8569223771149599
ENSG00000215014,AL645728.1,0.0009378698604090737,-0.6753731322112859,1,0,0.6753731322112859,1
ENSG00000228594,FNDC10,0.0016881657487363326,-0.9384075380450803,1,0.0018002427662226859,0.9384075380450803,1
ENSG00000272106,AL691432.2,0.0003751479441636295,-1.675373132211286,1,0,1.675373132211286,1
ENSG00000197530,MIB2,0.005252071218290813,-0.402354637804871,1,0.005400728298668058,0.402354637804871,1
ENSG00000248333,CDK11B,0.012942604073645217,-0.13105261598747653,1,0.0126016993635588,0.13105261598747653,1
ENSG00000272004,FO704657.1,0.0003751479441636295,-1.675373132211286,1,0,1.675373132211286,1
ENSG00000189339,SLC35E2B,0.0024384616370635914,-0.45298071087483827,1,0.0018002427662226859,0.45298071087483827,1
ENSG00000008128,CDK11A,0.009191124632008923,-0.7864044446000298,0.6875183243492675,0.014401942129781487,0.7864044446000298,0.6875183243492675
ENSG00000215790,SLC35E2A,0.0026260356091454065,-0.3534450373239242,1,0.0018002427662226859,0.3534450373239242,1
ENSG00000008130,NADK,0.006565089022863515,-0.09041063149012984,1,0.005400728298668058,0.09041063149012984,1
ENSG00000078369,GNB1,0.0675266299494533,-0.012408119488856784,1,0.06660898235023938,0.012408119488856784,1
ENSG00000142609,CFAP74,0.0005627219162454442,-1.260335632932442,1,0,1.260335632932442,1
ENSG00000187730,GABRD,0.00018757397208181474,-2.260335632932442,1,0,2.260335632932442,1
ENSG00000067606,PRKCZ,0.00393905341371811,-2.1228321091825073,0.2039032674685743,0.01620218489600417,2.1228321091825073,0.2039032674685743
ENSG00000182873,PRKCZ-AS1,0.00018757397208181474,-3.260335632932442,0.5725726953665582,0.0018002427662226859,3.260335632932442,0.5725726953665582
ENSG00000162585,FAAP20,0.02250887664981777,0.851172682284548,0.7233040022593124,0.010801456597336116,-0.851172682284548,0.7233040022593124
ENSG00000157933,SKI,0.008253254771599848,-1.2279141552400654,0.4492663366673287,0.018002427662226858,1.2279141552400654,0.4492663366677373
