Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value,Cluster 5 Mean Counts,Cluster 5 Log2 fold change,Cluster 5 Adjusted p value
ENSG00000241860,AL627309.5,0,0.22070850156980448,1,0.0005765952248984064,2.2590891540144415,1,0,1.4072310978975509,1,0,2.391439929751577,1,0,1.3927660865764562,1
ENSG00000237491,LINC01409,0.0005659127179537422,-0.586646420487801,1,0.0017297856746952191,0.9371610591270798,1,0.002143528521380355,1.4072310978975509,1,0.0019556220793741984,1.5840850076939716,0.9160421464371293,0,-0.6072339134235438,1
ENSG00000228794,LINC01128,0.0005659127179537422,-1.2387231170674937,0.9412372514258726,0.0011531904497968128,-0.4778764401517641,1,0.0032152927820705327,1.2373060964552387,1,0.0019556220793741984,0.932008311114279,1,0.004251033708082775,1.7146941814638188,1
ENSG00000230368,FAM41C,0.0016977381538612266,3.2207085015698045,0.5763085467819511,0,-0.7409108459855585,1,0,0.40723109789755085,1,0,1.3914399297515772,1,0,0.3927660865764562,1
ENSG00000272438,AL645608.6,0.0011318254359074843,-0.516257092596403,1,0.0005765952248984064,-1.2003424646228549,1,0.005358821303450887,2.184838676561103,1,0.003911244158748397,1.6544743355853697,0.682218910589919,0.0010627584270206938,-0.06666553206084025,1
ENSG00000230699,AL645608.2,0,-0.7792914984301955,1,0,-0.7409108459855585,1,0.0010717642606901776,1.8222685971763948,1,0,1.3914399297515772,1,0.0021255168540413876,2.9777285872976123,1
ENSG00000241180,AL645608.4,0,-0.3642539991513516,1,0,-0.32587334670671453,1,0.002143528521380355,3.992193598618707,1,0,1.806477429030421,1,0,0.8078035858553001,1
ENSG00000223764,LINC02593,0.0005659127179537422,0.22070850156980448,1,0.0005765952248984064,0.25908915401444155,1,0,0.08530300301018912,1,0,1.0695118348642136,1,0.0021255168540413876,2.392766086576456,1
ENSG00000187634,SAMD11,0.014713730666797296,-0.02440399626672729,1,0.013838285397561753,-0.14144877556928748,1,0.015004699649662485,0.06619418006248345,1,0.011733732476245191,-0.1935225709695798,1,0.020192410113393185,0.5649470619591375,1
ENSG00000188976,NOC2L,0.031125199487455818,0.6357460008486484,0.7778744358799771,0.023063808995936255,-0.012715461447084131,1,0.020363520953113372,-0.1777314028236061,1,0.019556220793741984,-0.1603557070343813,1,0.014878617978289713,-0.6661276024771112,1
ENSG00000187961,KLHL17,0.0005659127179537422,-0.3642539991513516,1,0.0017297856746952191,1.2590891540144415,1,0,-0.4001238241600529,1,0.0019556220793741984,1.806477429030421,0.8060080186557629,0.0010627584270206938,0.8078035858553001,1
ENSG00000187583,PLEKHN1,0,-1.586646420487801,0.9412372514258726,0.0011531904497968128,0.5221235598482359,1,0.002143528521380355,1.6702655037313452,1,0.0019556220793741984,1.806477429030421,0.8571309984520519,0.0010627584270206938,0.8078035858553001,1
ENSG00000272512,AL645608.7,0.0011318254359074843,1.2207085015698045,1,0.0005765952248984064,0.25908915401444155,1,0.0010717642606901776,1.4072310978975509,1,0,1.0695118348642136,1,0,0.07083799168909444,1
ENSG00000188290,HES4,0.019806945128380975,0.7467773132373923,0.7686404582755952,0.011531904497968128,-0.370961236235253,1,0.010717642606901775,-0.36215597396103316,1,0.003911244158748397,-1.3986370008741922,0.5378775189720373,0.018066893259351794,0.475228246768431,1
ENSG00000187608,ISG15,0.007356865333398648,0.44310092290625214,1,0.002882976124492032,-1.1559483452644024,1,0.005358821303450887,-0.007806401381293071,1,0.0058668662381225955,0.3039770885012363,1,0.010627584270206939,1.0973102030502861,1
ENSG00000188157,AGRN,0.003961389025676196,-0.8236856177886489,0.9225799979051335,0.00807233314857769,0.4655400314818676,1,0.010717642606901775,0.9597721209263295,1,0.011733732476245191,1.111332010558841,0.6211839012830638,0.0021255168540413876,-1.270198926145972,1
ENSG00000131591,C1orf159,0.004527301743629937,-0.7792914984301955,0.9412372514258726,0.013838285397561753,1.5810172489018042,0.9625550854730447,0.00428705704276071,-0.59276890210245,1,0.013689354555619388,1.1819865641226261,0.5616995540607415,0,-3.0666655320608402,0.5746888855703608
ENSG00000285812,AL390719.3,0.0005659127179537422,0.6357460008486484,1,0,-0.7409108459855585,1,0,0.40723109789755085,1,0.0019556220793741984,2.806477429030421,0.6534493105253377,0.0010627584270206938,1.8078035858553,1
ENSG00000162571,TTLL10,0,0.22070850156980448,1,0.0005765952248984064,2.2590891540144415,1,0,1.4072310978975509,1,0,2.391439929751577,1,0,1.3927660865764562,1
ENSG00000078808,SDF4,0.0254660723079184,0.25241736129714276,1,0.019027642421647412,-0.32587334670671453,1,0.023578813735183904,0.11061409153937518,1,0.023467464952490382,0.14936514255342814,1,0.023380685394455265,0.09614908021828228,1
ENSG00000176022,B3GALT6,0.010752341641121101,0.294709083013581,1,0.009802118823272908,0.10708606056939196,1,0.010717642606901775,0.31207386485721056,1,0.0058668662381225955,-0.36344757241189285,1,0.007439308989144857,-0.2510901031982664,1
ENSG00000160087,UBE2J2,0.014713730666797296,0.14270598956853142,1,0.01441488062246016,0.10154787702796142,1,0.01286117112828213,-0.04207630346603963,1,0.011733732476245191,-0.06799168888572105,1,0.01381585955126902,0.07083799168909533,1
ENSG00000230415,LINC01786,0,-0.3642539991513516,1,0,-0.32587334670671453,1,0,0.8222685971763948,1,0.0019556220793741984,3.391439929751577,0.5616995540607415,0.0010627584270206938,2.392766086576456,1
ENSG00000162572,SCNN1D,0,-0.3642539991513516,1,0.0005765952248984064,1.2590891540144415,1,0.0010717642606901776,2.407231097897551,1,0,1.806477429030421,1,0,0.8078035858553001,1
ENSG00000131584,ACAP3,0.0005659127179537422,-1.586646420487801,0.7798672877162222,0.004036166574288845,1.2590891540144415,1,0.0010717642606901776,-0.4001238241600529,1,0.0019556220793741984,0.5840850076939716,1,0.004251033708082775,1.2552625628265224,1
ENSG00000169972,PUSL1,0.007922778051352391,0.37271159501485496,1,0.009225523598374502,0.7026958054900563,1,0.0032152927820705327,-0.8406964155460344,1,0.0019556220793741984,-0.9304881651357855,0.9098422757947879,0.006376550562124163,0.07083799168909533,1
ENSG00000127054,INTS11,0.014713730666797296,0.27515628559218097,1,0.009802118823272908,-0.5017231821061321,1,0.01714822817104284,0.540497628761015,1,0.007822488317496793,-0.4960853409900112,1,0.014878617978289713,0.29965668218497576,1
ENSG00000224051,CPTP,0.003961389025676196,0.41335357951219986,1,0.0034595713493904383,0.15955348046352746,1,0.005358821303450887,0.9921935986187069,1,0,-1.0008774930271844,0.9033634484628148,0.0021255168540413876,-0.27019892614597296,1
ENSG00000107404,DVL1,0.003395476307722453,1.7061353287400456,0.7686404582755952,0.0011531904497968128,-0.32587334670671453,1,0,-1.0522005207397456,1,0,-0.06799168888572105,1,0.0021255168540413876,0.8078035858553001,1
ENSG00000175756,AURKAIP1,0.12053940892414708,0.1840983584355933,1,0.11243606885518925,0.0377486430715801,1,0.13932935388972306,0.41274810286511654,1,0.04302368574623237,-1.38420613257869,0.39783298547169615,0.09671101685888314,-0.2155289179753228,1
ENSG00000221978,CCNL2,0.004527301743629937,-0.5635628073747583,1,0.00634254747388247,0.03669673267799389,1,0.005358821303450887,-0.09526924263163217,1,0.013689354555619388,1.3914399297515754,0.43707824958666613,0.007439308989144857,0.39276608657645795,1
ENSG00000224870,MRPL20-AS1,0.0022636508718149686,-0.15780312168392463,1,0.004036166574288845,0.9371610591270798,1,0.0010717642606901776,-0.5927689021024491,1,0.0019556220793741984,0.39143992975157715,1,0.0031882752810620816,0.5854111645188533,1
ENSG00000242485,MRPL20,0.09733698748804365,0.39324188383635006,0.9412372514258726,0.0812999267106753,0.007956837236939407,1,0.10396113328694721,0.44451211397701007,1,0.04106806366685817,-0.9883322397080709,0.5682607520601825,0.04994964606997261,-0.7771589148658546,1
ENSG00000272455,AL391244.2,0.0011318254359074843,2.8056710022909606,0.7686404582755952,0,-0.32587334670671453,1,0,0.8222685971763948,1,0,1.806477429030421,1,0,0.8078035858553001,1
ENSG00000179403,VWA1,0.0016977381538612266,-0.9492164998725086,0.9412372514258726,0.0034595713493904383,0.15955348046352746,1,0.0032152927820705327,0.2373060964552387,1,0.0058668662381225955,1.2215149283092623,0.6952046660173458,0.0053137921351034696,0.9777285872976131,1
ENSG00000160072,ATAD3B,0,0.22070850156980448,1,0,0.25908915401444155,1,0.0010717642606901776,3.407231097897551,1,0,2.391439929751577,1,0,1.3927660865764562,1
ENSG00000197785,ATAD3A,0.007922778051352391,0.04013625592798409,1,0.010955309273069721,0.7230362537742314,1,0.009645878346211598,0.4437569739226639,1,0.0019556220793741984,-1.1631489219260605,0.7004811596595824,0.004251033708082775,-0.7447374371734776,1
ENSG00000160075,SSU72,0.07356865333398648,0.33526826583266,0.9412372514258726,0.06457866518862151,0.05690030340117458,1,0.06001879859864994,-0.06365963611481096,1,0.04106806366685817,-0.6044556719156877,0.8993509271142227,0.05526343820507608,-0.20124155374770547,1
ENSG00000215014,AL645728.1,0.0005659127179537422,-0.10121959331755903,1,0.0017297856746952191,1.6741266532932855,1,0,-0.17773140282360522,1,0,0.8064774290304211,1,0.0010627584270206938,1.0708379916890944,1
ENSG00000228594,FNDC10,0.0016977381538612266,0.22070850156980448,1,0.0017297856746952191,0.25908915401444155,1,0,-1.0522005207397456,1,0.0019556220793741984,1.0695118348642136,1,0.0031882752810620816,1.392766086576457,1
ENSG00000272106,AL691432.2,0,-0.3642539991513516,1,0.0005765952248984064,1.2590891540144415,1,0,0.8222685971763948,1,0,1.806477429030421,1,0.0010627584270206938,2.392766086576456,1
ENSG00000197530,MIB2,0.006790952615444906,0.5992201248235336,1,0.004612761799187251,-0.15594834526440238,1,0.0032152927820705327,-0.450749897230021,1,0.0058668662381225955,0.5334589346240035,1,0.0053137921351034696,0.2228410851341458,1
ENSG00000248333,CDK11B,0.010752341641121101,-0.31534439867040565,1,0.02075742809634263,1.110990515025307,1,0.00857411408552142,-0.5313683574383061,1,0.013689354555619388,0.262156912806609,1,0.006376550562124163,-0.9496261108706205,1
ENSG00000272004,FO704657.1,0,-0.3642539991513516,1,0.0011531904497968128,2.8440516547355976,1,0,0.8222685971763948,1,0,1.806477429030421,1,0,0.8078035858553001,1
ENSG00000189339,SLC35E2B,0.0016977381538612266,-0.3642539991513516,1,0.0023063808995936255,0.12158563026450686,1,0.002143528521380355,0.2917538804776143,1,0.0019556220793741984,0.5840850076939716,1,0.004251033708082775,1.2552625628265224,1
ENSG00000008128,CDK11A,0.009620516205213616,0.03308149839403285,1,0.010378714048171315,0.18508857257066502,1,0.005358821303450887,-0.7357268559444927,1,0.013689354555619388,0.7190145877800802,0.7812016711292569,0.010627584270206939,0.2672352044925983,1
ENSG00000215790,SLC35E2A,0,-2.7792914984301955,0.4546235963404553,0.004612761799187251,1.4290141554567537,1,0.002143528521380355,0.1848386765611032,1,0,-0.6085600702484228,1,0.0053137921351034696,1.5182969686603167,1
ENSG00000008130,NADK,0.006225039897491164,-0.0016839197666431716,1,0.00807233314857769,0.522123559848235,1,0.002143528521380355,-1.2172597670102432,1,0.0058668662381225955,0.22151492830926323,1,0.00850206741616555,0.6084947776318952,1
