Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value,Cluster 5 Mean Counts,Cluster 5 Log2 fold change,Cluster 5 Adjusted p value,Cluster 6 Mean Counts,Cluster 6 Log2 fold change,Cluster 6 Adjusted p value
ENSG00000241860,AL627309.5,0,0.07059215737291602,1,0.0006156340188981418,2.3912508957446565,1,0,1.6059509459145467,1,0,1.2641160372018287,1,0,3.35252962785575,1,0,3.509361307652431,1
ENSG00000237491,LINC01409,0.0005267584914308754,-0.7367627646846895,1,0.0012312680377962837,0.39125089574465477,1,0.0012050970940414968,0.7985960238569412,1,0.0019730381416587454,1.2641160372018287,1,0,1.3525296278557501,1,0.004053704661298661,2.7020063855948253,0.8531517854682418
ENSG00000228794,LINC01128,0.0005267584914308754,-1.3888394612643822,0.8959779828285467,0.0012312680377962837,-0.3457146984215509,1,0.0036152912821244905,1.4360259444722345,1,0.003946076283317491,1.5860441320891905,1,0.003652246256239598,1.893098009218452,1,0,0.924398806931273,1
ENSG00000230368,FAM41C,0.0010535169828617508,1.6555546580940739,0.8959779828285467,0,-0.6087491042553435,1,0,0.6059509459145467,1,0.0009865190708293727,1.6791535364806727,1,0,2.35252962785575,1,0,2.509361307652431,1
ENSG00000272438,AL645608.6,0.0010535169828617508,-0.6663734367932896,1,0.0018469020566944255,0.22132589430234262,1,0.0036152912821244905,1.4360259444722345,1,0.0009865190708293727,-0.19531558143546945,1,0,0.7675671271345941,1,0.008107409322597322,2.7723957134862234,0.577862787466844
ENSG00000230699,AL645608.2,0,-0.929407842627084,1,0,-0.6087491042553435,1,0.0012050970940414968,2.0209884451933906,1,0.0019730381416587454,2.849078537922985,1,0,2.35252962785575,1,0,2.509361307652431,1
ENSG00000241180,AL645608.4,0,-0.5143703433482418,1,0,-0.1937116049765013,1,0.0024101941880829937,4.190913446635703,1,0,0.6791535364806727,1,0,2.767567127134594,1,0,2.924398806931273,1
ENSG00000223764,LINC02593,0.0005267584914308754,0.07059215737291602,1,0.0006156340188981418,0.39125089574465655,1,0,0.28402285102718317,1,0.0019730381416587454,2.2641160372018287,1,0,2.0306015329683866,1,0,2.1874332127650673,1
ENSG00000187634,SAMD11,0.01474923776006451,-0.025623157886387027,1,0.013543948415759122,-0.17264998944867038,1,0.01566626222253946,0.14651932727724848,1,0.019730381416587454,0.5271504430356222,1,0.003652246256239598,-1.1232038031106484,1,0.020268523306493303,0.6849328722358843,1
ENSG00000188976,NOC2L,0.03160550948585252,0.6975487467586996,0.654433133618953,0.0264722628126201,0.2657200136607969,1,0.014461165128497962,-0.682294022716528,1,0.012824747920781846,-0.9058089642404843,1,0.021913477537437588,0.10460211441216405,1,0.016214818645194643,-0.2455261945110383,1
ENSG00000187961,KLHL17,0.0005267584914308754,-0.5143703433482418,1,0.0018469020566944255,1.3912508957446565,1,0,-0.20140397614305883,1,0.0009865190708293727,0.6791535364806727,1,0.003652246256239598,2.767567127134594,1,0,1.7020063855948253,1
ENSG00000187583,PLEKHN1,0.0005267584914308754,-0.5143703433482418,1,0.0012312680377962837,0.6542853015784491,1,0.0024101941880829937,1.8689853517483392,1,0,-0.543238884855775,1,0,1.5451747057981446,1,0.004053704661298661,2.924398806931273,0.7999546543560636
ENSG00000272512,AL645608.7,0.0015802754742926261,2.070592157372916,0.7153084792539676,0,-0.930677199142707,1,0,0.28402285102718317,1,0.0009865190708293727,1.2641160372018287,1,0,2.0306015329683866,1,0,2.1874332127650673,1
ENSG00000188290,HES4,0.02054358116580414,0.8689582962032656,0.5503238162925765,0.00985014430237027,-0.6298107197831744,1,0.007230582564248981,-0.8904748802049527,1,0.02071690048741683,0.7235476558391252,1,0.007304492512479196,-0.4375473027700183,1,0,-1.9000296284852718,0.7633466128610078
ENSG00000187608,ISG15,0.00684786038860138,0.2929845787093637,1,0.0030781700944907094,-1.0237866035341883,1,0.004820388376165987,-0.11651507855654497,1,0.0108517097791231,1.1486388197818913,1,0.003652246256239598,0.1826046264134371,1,0.008107409322597322,0.9650407914286196,1
ENSG00000188157,AGRN,0.005267584914308753,-0.37686681959830537,1,0.00985014430237027,0.8937512362738387,1,0.006025485470207485,0.06163042969073551,1,0.0019730381416587454,-1.3988489755206013,1,0.007304492512479196,0.689564615133321,1,0.016214818645194643,1.6613644010974804,0.6484933588783902
ENSG00000131591,C1orf159,0.005267584914308753,-0.5574390652401258,0.9240258063564534,0.013543948415759122,1.4553812331643714,1,0.0024101941880829937,-1.201403976143058,1,0.0019730381416587454,-1.5432388848557759,1,0.01826123128119799,1.6520899097146584,0.9520804322061026,0.008107409322597322,0.7020063855948262,1
ENSG00000285812,AL390719.3,0.0005267584914308754,0.48562965665175817,1,0,-0.6087491042553435,1,0,0.6059509459145467,1,0.0009865190708293727,1.6791535364806727,1,0,2.35252962785575,1,0.004053704661298661,3.924398806931273,0.6495689385653045
ENSG00000162571,TTLL10,0,0.07059215737291602,1,0.0006156340188981418,2.3912508957446565,1,0,1.6059509459145467,1,0,1.2641160372018287,1,0,3.35252962785575,1,0,3.509361307652431,1
ENSG00000078808,SDF4,0.025284407588682018,0.24235850563939643,1,0.021547190661434967,-0.08268029258775655,1,0.018076456410622454,-0.3009396496939729,1,0.023676457699904948,0.11355636062644692,1,0.021913477537437588,0.1486572944900999,1,0.024322227967791966,0.3054889742867797,1
ENSG00000176022,B3GALT6,0.011061928320048382,0.3600987745679012,1,0.010465778321268411,0.23924780229960607,1,0.009640776752331975,0.1611661032416496,1,0.005919114424976237,-0.6009543827120636,1,0.007304492512479196,0.15613241505224718,1,0.008107409322597322,0.31296409484892695,1
ENSG00000160087,UBE2J2,0.014222479268633636,0.07059215737291602,1,0.014775216453555404,0.15246403615753845,1,0.01205097094041497,-0.1244419943281736,1,0.014797786062440591,0.17665319595148876,1,0.014608985024958393,0.3706769745660088,1,0.008107409322597322,-0.2455261945110383,1
ENSG00000230415,LINC01786,0,-0.5143703433482418,1,0,-0.1937116049765013,1,0,1.0209884451933906,1,0.0009865190708293727,2.2641160372018287,1,0,2.767567127134594,1,0.004053704661298661,4.509361307652431,0.577862787466844
