Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value,Cluster 5 Mean Counts,Cluster 5 Log2 fold change,Cluster 5 Adjusted p value,Cluster 6 Mean Counts,Cluster 6 Log2 fold change,Cluster 6 Adjusted p value,Cluster 7 Mean Counts,Cluster 7 Log2 fold change,Cluster 7 Adjusted p value,Cluster 8 Mean Counts,Cluster 8 Log2 fold change,Cluster 8 Adjusted p value,Cluster 9 Mean Counts,Cluster 9 Log2 fold change,Cluster 9 Adjusted p value
ENSG00000241860,AL627309.5,0,0.6792980377813365,1,0,0.8994738044861332,1,0,1.7096753514758642,1,0,3.3779709150887207,1,0.0010709694102837464,3.4059602529113437,1,0,2.2892859982346323,1,0,2.506529309774237,1,0,3.5565869252337095,1,0,11.167073223922259,1
ENSG00000237491,LINC01409,0,-1.3207019622186635,1,0.0008040086884219102,0.0921188824285295,1,0.0012823546250938411,0.9023204294182605,1,0,1.3779709150887207,1,0.0021419388205674928,1.4059602529113437,1,0,0.2892859982346323,1,0.004208407228107175,2.506529309774237,1,0.0041834624584274355,2.749232003176104,0.8589698533128917,0,9.167073223922259,1
ENSG00000228794,LINC01128,0,-1.9056644629398196,0.9858496980905215,0.0016080173768438205,0.16250821031992757,1,0.005129418500375365,2.031603446363226,1,0.0037144210918198103,1.9185392964514243,1,0,-1.1790022478098123,1,0.005500035497571546,2.119360996792321,1,0.0021042036140535873,1.0470976911369387,1,0,0.9716244245125534,1,0,8.582110723201103,1
ENSG00000230368,FAM41C,0.0014284017680945803,2.2642605385024925,0.9858496980905215,0,-0.10052619551386677,1,0,0.7096753514758642,1,0,2.3779709150887207,1,0.0010709694102837464,1.8209977521901877,1,0,1.2892859982346323,1,0,1.506529309774237,1,0,2.5565869252337095,1,0,10.167073223922259,1
ENSG00000272438,AL645608.6,0.0014284017680945803,-0.0576675563848692,1,0.0024120260652657306,0.7295488030438211,1,0.003847063875281523,1.539750350033552,1,0.0037144210918198103,1.9185392964514243,1,0,-1.1790022478098123,1,0.001833345165857182,0.8298543795973341,1,0,-0.07843319094691914,1,0.0041834624584274355,2.0971553065964113,1,0,8.582110723201103,1
ENSG00000230699,AL645608.2,0,-0.32070196221866354,1,0,-0.10052619551386677,1,0.0012823546250938411,2.124712850754708,1,0,2.3779709150887207,1,0.0010709694102837464,1.8209977521901877,1,0,1.2892859982346323,1,0.0021042036140535873,2.921566809053081,1,0,2.5565869252337095,1,0,10.167073223922259,1
ENSG00000241180,AL645608.4,0,0.09433553706018039,1,0,0.31451130376497716,1,0.0025647092501876823,4.29463785219702,1,0,2.7930084143675646,1,0,0.8209977521901877,1,0,1.7043234975134762,1,0,1.9215668090530809,1,0,2.9716244245125534,1,0,10.582110723201103,1
ENSG00000223764,LINC02593,0.0007142008840472901,0.6792980377813365,1,0.0008040086884219102,0.8994738044861332,1,0,0.3877472565885025,1,0,2.056042820201359,1,0,0.08403215802398023,1,0.003666690331714364,3.289285998234633,1,0,1.1846012148868752,1,0,2.234658830346346,1,0,9.845145129034897,1
ENSG00000187634,SAMD11,0.012855615912851222,-0.2426994502173896,1,0.012060130326328654,-0.3293448860097481,1,0.019235319376407614,0.4808566609799838,1,0.007428842183639621,-0.4964982028274205,1,0.018206479974823688,0.3860606954736392,1,0.022000141990286184,0.7043234975134762,1,0.0168336289124287,0.3189023065984653,1,0.008366924916854871,-0.3178821926824318,1,0,5.675220127592585,1
ENSG00000188976,NOC2L,0.03285324066617534,0.6947280783509431,0.9164628397694605,0.02653228671792304,0.25901619117327357,1,0.019235319376407614,-0.24452095891101067,1,0.02600094764273867,0.33357679573026733,1,0.02141938820567493,-0.09654008761783928,1,0.016500106492714637,-0.4111537199064603,1,0.010521018070267936,-0.9745973799623799,1,0.012550387375282307,-0.5308759160166305,1,0,5.048132151198753,1
