Feature,Normalized.Dispersion
ENSG00000241860,NaN
ENSG00000237491,-0.23641313487287205
ENSG00000228794,1.6711623175948853
ENSG00000230368,1.3216864023385244
ENSG00000272438,-0.14185726863724324
ENSG00000230699,0.2962335669738341
ENSG00000241180,NaN
ENSG00000223764,-0.8007388516871226
ENSG00000187634,-0.916315649816114
ENSG00000188976,0.19599022571880795
ENSG00000187961,4.157171074256935
ENSG00000187583,1.1272965572628368
ENSG00000272512,0.8602751810724488
ENSG00000188290,-1.0888185417685736
ENSG00000187608,-0.7640686524820769
ENSG00000188157,-0.2719607010991186
ENSG00000131591,0.975145942884352
ENSG00000285812,2.076187253083569
ENSG00000162571,NaN
ENSG00000078808,-1.0649311935347656
ENSG00000176022,-0.8191551505064752
ENSG00000160087,-0.9202537548445828
ENSG00000230415,NaN
ENSG00000162572,NaN
ENSG00000131584,-0.14780244227255196
ENSG00000169972,-1.7136476178087856
ENSG00000127054,-0.5325434486260567
ENSG00000224051,-1.4510291161074957
ENSG00000107404,-1.4152251575284724
ENSG00000175756,0.22544542143913948
ENSG00000221978,0.7549124841248731
ENSG00000224870,-1.161849252681298
ENSG00000242485,-1.0436451119096326
ENSG00000272455,NaN
ENSG00000179403,0.715869085824386
ENSG00000160072,NaN
ENSG00000197785,-0.5944270973479054
ENSG00000160075,-0.463300240807057
ENSG00000215014,-1.3948398923205758
ENSG00000228594,-0.2924230664700057
ENSG00000272106,NaN
ENSG00000197530,-0.3439431931025043
ENSG00000248333,-1.2571078751472338
ENSG00000272004,NaN
ENSG00000189339,1.0718438798955452
ENSG00000008128,0.26574586769582215
ENSG00000215790,-1.3910905338993191
ENSG00000008130,-1.4058542466520265
ENSG00000078369,0.23864031927786544
ENSG00000142609,1.5008566882360466
ENSG00000187730,NaN
ENSG00000067606,2.1478841987325383
ENSG00000182873,NaN
ENSG00000162585,-0.4933701712454909
ENSG00000157933,3.419135687824777
ENSG00000287356,NaN
ENSG00000116151,1.8661015495055555
ENSG00000272420,-1.0131762962743762
ENSG00000157916,-0.8382619403262253
ENSG00000157911,-0.26460354875692815
ENSG00000157881,1.1665025192174114
ENSG00000272449,7.065427529513467
ENSG00000157870,-0.8777908546297367
ENSG00000215912,NaN
ENSG00000287396,NaN
ENSG00000142611,NaN
ENSG00000130762,-0.8087700179877576
ENSG00000162591,NaN
ENSG00000158109,-0.844630062586692
ENSG00000116213,-0.5414389357417476
ENSG00000078900,NaN
ENSG00000235169,-1.3317108246098828
ENSG00000130764,-0.5553464247730477
ENSG00000116198,-0.8314260180920601
ENSG00000169598,-0.3206310256165563
ENSG00000198912,-2.270171801169085
ENSG00000236423,NaN
ENSG00000232596,NaN
ENSG00000131697,3.4933325020061137
ENSG00000069424,1.7841592196014417
ENSG00000116254,NaN
ENSG00000116251,-0.7771449272063553
ENSG00000226944,1.7746112046827633
ENSG00000158286,-0.23059963433493774
ENSG00000116237,-1.1553076035905951
ENSG00000225077,2.8215778618998404
ENSG00000158292,-1.5973104252148118
ENSG00000097021,-1.982877262101289
ENSG00000271746,NaN
ENSG00000069812,NaN
ENSG00000187017,NaN
ENSG00000171680,2.0866188191080908
ENSG00000162408,0.050524018538979844
ENSG00000204859,1.124313808940124
ENSG00000162413,-1.460786282163959
ENSG00000116273,-0.3880578201108612
ENSG00000041988,-1.7882478527749677
ENSG00000007923,-0.4088711737691913
ENSG00000284744,NaN
ENSG00000237436,NaN
ENSG00000171735,-0.4009775150903769
ENSG00000049245,-2.587052747569808
ENSG00000049246,-0.49698383858508605
ENSG00000049249,-1.108197928468755
ENSG00000116288,-0.7654698543129383
ENSG00000284747,2.232002412710287
ENSG00000284716,0.601488073326401
ENSG00000116285,0.9399071812339287
ENSG00000238290,0.012656519383108281
ENSG00000227634,NaN
ENSG00000162426,-1.1260725088443724
ENSG00000142599,9.406022843025783
ENSG00000232912,2.1712949664584085
ENSG00000074800,-0.869588271604465
ENSG00000230679,NaN
ENSG00000197241,NaN
ENSG00000142583,NaN
ENSG00000180758,-0.24095437951342807
ENSG00000228526,2.4419201335151333
ENSG00000234546,-0.9972655060990865
ENSG00000049239,1.0053341658712776
ENSG00000171621,-1.644627257169985
ENSG00000284652,NaN
ENSG00000284693,NaN
ENSG00000171612,1.9973432782911562
ENSG00000188807,0.7890988957551609
ENSG00000171608,0
ENSG00000231789,-0.7343112319175801
ENSG00000171603,2.1635095619741787
ENSG00000178585,0.2185628685759358
ENSG00000162441,-0.06935793111947186
ENSG00000173614,0.6054066517424418
ENSG00000162444,NaN
ENSG00000130939,2.6514457414248866
ENSG00000054523,0.5784123126134014
ENSG00000284735,-0.36503108462320427
ENSG00000284642,NaN
ENSG00000142657,-0.03131670822539465
ENSG00000175279,-0.6102458510354378
ENSG00000241563,-0.6996339363208647
ENSG00000160049,-0.9871616898090365
ENSG00000203469,NaN
ENSG00000142655,0.6809896222141537
ENSG00000130940,-0.16564162506022667
ENSG00000120948,-0.26719652114111886
ENSG00000009724,NaN
ENSG00000271895,NaN
ENSG00000116649,-1.0830001683762924
ENSG00000171824,-1.1313384295642734
ENSG00000226849,2.2035638799231414
ENSG00000230337,-1.7433030764253516
ENSG00000198793,-0.2311761815186819
ENSG00000171819,NaN
ENSG00000120942,-0.14512765684190215
ENSG00000204624,NaN
ENSG00000116661,1.0435442878344394
ENSG00000132879,2.0879095433216963
ENSG00000116663,-1.718463411377083
ENSG00000116670,-1.7338615205152554
ENSG00000177674,-0.840287042048077
ENSG00000215910,NaN
ENSG00000177000,2.7551791614990884
ENSG00000011021,0.7090693164182821
ENSG00000175206,NaN
ENSG00000285646,1.0141560622088297
ENSG00000116685,-0.07315875268470028
ENSG00000083444,0.5725199218722729
ENSG00000116688,-1.5406513700044309
ENSG00000116691,-1.7547798041559464
ENSG00000028137,NaN
ENSG00000048707,0.27548112465434516
ENSG00000162496,-0.05835290481881518
ENSG00000272482,2.109671754578024
ENSG00000116731,0.8715631065252082
ENSG00000189337,2.5496557806838576
ENSG00000287756,NaN
ENSG00000175147,NaN
ENSG00000171729,2.2933426184398775
ENSG00000204464,-0.4558797697233583
ENSG00000142621,-0.5362291777927899
ENSG00000142634,-0.2202554656787756
ENSG00000162438,NaN
ENSG00000142615,NaN
ENSG00000132906,-1.0151129655672744
ENSG00000116138,1.570629594623344
ENSG00000272510,NaN
ENSG00000116771,0.6868536260257783
ENSG00000237301,NaN
ENSG00000197312,-0.602406519474916
ENSG00000116786,-0.02919083214365039
ENSG00000237938,NaN
ENSG00000162461,NaN
ENSG00000162458,0.8967680513850326
ENSG00000233954,-1.0783933178351535
ENSG00000179743,3.9620687109770003
ENSG00000065526,-0.7005527669720716
ENSG00000116809,3.8445363057461344
ENSG00000185519,-1.5982140883651066
ENSG00000142627,-0.13250651299523147
ENSG00000224621,NaN
ENSG00000142632,-0.11410124028602309
ENSG00000288398,NaN
ENSG00000132881,NaN
ENSG00000037637,1.9602922467534178
ENSG00000055070,-1.9149496943610966
ENSG00000187144,NaN
ENSG00000157191,-0.9175201998690757
ENSG00000226029,2.5973005417980786
ENSG00000261135,0.48827812977407353
ENSG00000224174,NaN
ENSG00000219481,-1.1168951529980615
ENSG00000058453,-0.8585841708644122
ENSG00000228549,NaN
ENSG00000238142,-0.012406474437908483
ENSG00000117122,-0.16554419344392335
ENSG00000226526,NaN
ENSG00000159363,-0.8962753442600033
ENSG00000117118,-0.7765983528669816
ENSG00000117115,NaN
ENSG00000204362,NaN
ENSG00000142623,0.5444187155341744
ENSG00000142619,0.7526106223732655
ENSG00000159339,NaN
ENSG00000179051,-1.940066317276485
ENSG00000074964,-0.003145868808296632
