Perturbation,Target Guide,Log2 Fold Change,p Value,Log2 Fold Change Lower Bound,Log2 Fold Change Upper Bound,Cells with Perturbation,Mean UMI Count Among Cells with Perturbation,Cells with Non-Targeting Guides,Mean UMI Count Among Cells with Non-Targeting Guides
PPIB-1,PPIB-1,-2.589512905699817,0.005726672292626387,-3.772947557352425,-1.5702395166904113,51,0.0196078431372549,411,0.21654501216545013
MORF4L1-1,MORF4L1-1,-2.079112492062444,0.10596866355300115,-2.4086528865762045,-1.75964272987104,33,0.0,411,0.13138686131386862
LMNA-1,LMNA-1,-1.8353579553097155,0.20986857499464787,-2.1934837349878884,-1.4443426187247557,23,0.0,411,0.1386861313868613
SRPK1-2,SRPK1-2,-1.697211036914485,0.25436736356311374,-2.127417406373821,-1.0503608401493931,53,0.0,411,0.05596107055961071
PPIB-2,PPIB-2,-1.5484185261707943,0.059274370372502605,-3.586826062829105,-0.5860603586547302,48,0.0625,411,0.21654501216545013
UBXN1-2,UBXN1-2,-1.5226883792574482,0.21829806493038892,-1.8857367324676497,-1.035964734785539,39,0.0,411,0.0705596107055961
H2AFY-1,H2AFY-1,-1.4714590611809597,0.21975394571567095,-1.9520918640317966,-1.0803595043502083,37,0.0,411,0.072992700729927
BAZ1B-1,BAZ1B-1,-1.4670990419628809,0.23274482903033414,-1.807179951691713,-1.0216300159715423,33,0.0,411,0.08759124087591241
EIF4EBP1-1,EIF4EBP1-1,-1.366989793818271,0.3662466653122435,-1.6967200909547948,-0.9371874123752257,23,0.0,411,0.10948905109489052
ATF4-1,ATF4-1,-1.309390371508826,0.29932638794447625,-1.843271563293909,-0.6324919541947995,42,0.0,411,0.051094890510948905
RAB1A-2,RAB1A-2,-1.2782490323143496,0.34764473300835746,-1.6902823491206482,-0.7077209426102709,28,0.0,411,0.07785888077858881
MBNL1-1,MBNL1-1,-1.2048571816236588,0.44155264165373215,-2.8005065104704547,-0.22952449293583044,67,0.029850746268656716,411,0.09002433090024331
SUZ12-2,SUZ12-2,-1.0498904507967715,0.33904815835912017,-2.2755673914260264,-0.024690853308849015,67,0.014925373134328358,411,0.06326034063260341
BAZ1B-2,BAZ1B-2,-1.0495573621262024,0.3239653999425147,-2.1994597572207604,0.07196381630204263,42,0.023809523809523808,411,0.08759124087591241
EZR-1,EZR-1,-0.9635144069740735,0.46390014757311293,-2.0906102569881204,0.031278628818263154,38,0.02631578947368421,411,0.0948905109489051
CSNK2A1-1,CSNK2A1-1,-0.9322517444670244,0.4561993185923398,-1.412574674649079,-0.4261942770684204,24,0.0,411,0.0681265206812652
MORF4L1-2,MORF4L1-2,-0.8335473717688289,0.4633994183966281,-2.0912213348994175,0.2242725730104227,24,0.041666666666666664,411,0.13138686131386862
HRAS-2,HRAS-2,-0.8090085278482197,0.42880491243186136,-1.2159233032448018,-0.2691176947866989,34,0.0,411,0.043795620437956206
EIF4EBP1-2,EIF4EBP1-2,-0.7917813782127556,0.5502171795447339,-2.4335199410626425,0.20610698909946557,47,0.0425531914893617,411,0.10948905109489052
ELOF1-1,ELOF1-1,-0.7245668732024075,0.6431627282206064,-1.2546729337951712,0.08643301432491945,64,0.0,411,0.024330900243309004
ELOF1-2,ELOF1-2,-0.7210979477210024,0.6433876544695555,-1.3298116630830785,0.10917678998367197,63,0.0,411,0.024330900243309004
CDKN3-1,CDKN3-1,-0.6997132520561813,0.6620314282642619,-1.1676971405999463,-0.07764801059217863,36,0.0,411,0.043795620437956206
LMNA-2,LMNA-2,-0.6865068641974119,0.6062874885918682,-1.8482547289156854,0.23237485773253086,20,0.05,411,0.1386861313868613
RBM25-2,RBM25-2,-0.6272242568803814,0.498927231270408,-2.2155525042522473,0.5330172835466187,47,0.0425531914893617,411,0.09245742092457421
GSK3A-1,GSK3A-1,-0.6270817517372667,0.617350270979822,-1.305319133156913,0.46574075569888507,74,0.0,411,0.0170316301703163
H2AFY-2,H2AFY-2,-0.6051161373362781,0.5633691205834291,-1.7818969305902943,0.2391263854166703,40,0.025,411,0.072992700729927
SET-1,SET-1,-0.5843222926083835,0.7336793087108626,-1.9120818714522732,0.2642039349102796,33,0.09090909090909091,411,0.17761557177615572
SMARCD1-1,SMARCD1-1,-0.5147613870045911,0.6212872591580246,-1.1088852048566995,0.37156708942551475,62,0.0,411,0.019464720194647202
RAB1A-3,RAB1A-3,-0.5093487894899988,1.0,-0.9739580520798841,0.05310939803203496,18,0.0,411,0.07785888077858881
GRB2-2,GRB2-2,-0.5050562492998374,1.0,-0.9916255216748895,0.2956801993840372,25,0.0,411,0.04866180048661801
SET-2,SET-2,-0.45390920357437015,0.8346648295925462,-1.995354306709391,0.4823890606939658,21,0.09523809523809523,411,0.17761557177615572
CAMLG-1,CAMLG-1,-0.42643772063055874,0.632451186336952,-1.0021491310410342,0.41034000857368635,45,0.0,411,0.0267639902676399
JUN-1,JUN-1,-0.38332256765379036,0.6202588559877797,-1.0865839895525058,0.5192478007583148,59,0.0,411,0.019464720194647202
UBE2N-2,UBE2N-2,-0.3316119022406041,0.7505646769099288,-1.6533519149200058,0.8026977500293442,32,0.03125,411,0.0681265206812652
APH1A-2,APH1A-2,-0.3212509350684494,0.6164945935088745,-1.129293620224149,0.687445177991461,59,0.0,411,0.0170316301703163
CDKN3-2,CDKN3-2,-0.2903022809150402,0.7350102609131012,-1.6315843986685827,0.633440851110707,51,0.0196078431372549,411,0.043795620437956206
TPR-2,TPR-2,-0.2901281549692789,1.0,-0.6905774537635487,0.08145720241252707,10,0.0,411,0.1070559610705596
GSK3A-2,GSK3A-2,-0.28742277624146695,1.0,-0.9008189484685118,0.6610211361939582,61,0.0,411,0.0170316301703163
HRAS-1,HRAS-1,-0.22820419578566575,1.0,-0.6190530149979727,0.4544137441787628,26,0.0,411,0.043795620437956206
MBNL1-2,MBNL1-2,-0.19041955780653153,1.0,-1.3318932056021566,0.7413082013779952,48,0.0625,411,0.09002433090024331
PAIP2-2,PAIP2-2,-0.17601431265094636,1.0,-1.3923568736100114,1.081849044594597,51,0.0196078431372549,411,0.0413625304136253
ATF4-2,ATF4-2,-0.17546787480814707,1.0,-1.6006887645015349,0.9725330222104094,41,0.024390243902439025,411,0.051094890510948905
SNRNP40-1,SNRNP40-1,-0.09013685980104746,1.0,-0.8225130157696521,0.6480232373517643,40,0.0,411,0.021897810218978103
GRB2-1,GRB2-1,0.010336265551076806,1.0,-1.2693060814445198,1.1100738951580036,42,0.023809523809523808,411,0.04866180048661801
EZH2-2,EZH2-2,0.026224439193810234,1.0,-0.44703113146367013,0.8515423867873331,42,0.0,411,0.024330900243309004
HDAC1-1,HDAC1-1,0.04484720527175323,1.0,-0.3911714185299111,0.7374084454807335,24,0.0,411,0.0413625304136253
PAIP2-1,PAIP2-1,0.05541653801706481,1.0,-1.358969401993039,1.1532057528232986,43,0.023255813953488372,411,0.0413625304136253
EZH2-1,EZH2-1,0.1845374755567173,1.0,-1.208805992836857,1.351918587533059,71,0.014084507042253521,411,0.024330900243309004
DHX9-1,DHX9-1,0.1951561988744026,1.0,-0.21689064727569551,0.7420549047181582,10,0.0,411,0.072992700729927
PPP2CA-1,PPP2CA-1,0.3006185679682587,1.0,-0.2693401849313162,0.8501245515810951,14,0.0,411,0.051094890510948905
UBE2N-1,UBE2N-1,0.3997171097674901,1.0,-0.9406842098788513,1.3702704642820769,19,0.05263157894736842,411,0.0681265206812652
CAMLG-2,CAMLG-2,0.4021472353022011,1.0,-0.1030191013566526,1.1361819227334564,22,0.0,411,0.0267639902676399
JUN-2,JUN-2,0.5141644670598167,1.0,-1.064345581447058,1.7465330108998236,65,0.015384615384615385,411,0.019464720194647202
HDAC1-2,HDAC1-2,0.5170452196004485,1.0,-0.9119162697559933,1.4489513282866127,33,0.030303030303030304,411,0.0413625304136253
CSNK2A1-2,CSNK2A1-2,0.630944366837634,0.5043374160540508,-0.6963220713266214,1.4701688048712125,65,0.09230769230769231,411,0.0681265206812652
CTNNB1-1,CTNNB1-1,0.6771667359614719,1.0,-0.05047521721870574,1.5973053946028237,21,0.0,411,0.0267639902676399
PPP2CA-2,PPP2CA-2,0.6813042312169375,1.0,0.18774451100602363,1.3326412261026555,13,0.0,411,0.051094890510948905
EZR-2,EZR-2,0.6841306571292947,0.4341030249790735,-0.7292253961565835,1.456992838308952,33,0.12121212121212122,411,0.0948905109489051
SUZ12-1,SUZ12-1,0.6879725085613884,1.0,0.2135656762285163,1.3888730682351662,10,0.0,411,0.06326034063260341
KDM1A-1,KDM1A-1,0.6900800669953995,1.0,0.13164614259556995,1.6166029471877819,24,0.0,411,0.019464720194647202
TRA2B-1,TRA2B-1,0.7743108797307259,1.0,0.23875193141984408,1.3693397644178593,14,0.0,411,0.0364963503649635
TRA2B-2,TRA2B-2,0.8425728358875313,1.0,0.23043288383307203,1.503487203582158,14,0.0,411,0.0364963503649635
SMARCD1-2,SMARCD1-2,0.853511451429048,1.0,0.17818354715427276,1.7608165169061678,22,0.0,411,0.019464720194647202
RBBP4-1,RBBP4-1,0.8585731129445797,1.0,0.34979614659170544,2.0088741061443365,21,0.0,411,0.019464720194647202
BRD4-2,BRD4-2,1.0451812990059164,0.3999582430657026,-0.7191417354703766,2.356878713345737,34,0.058823529411764705,411,0.038929440389294405
BRD4-1,BRD4-1,1.171749118750062,0.22015456977911155,-0.07371291846100458,2.21791129953991,63,0.07936507936507936,411,0.038929440389294405
