feature_call,num_cells,pct_cells,median_umis,stddev_umis
No guide molecules,23,0.004074402125775022,None,None
No confident call,1163,0.20602302922940655,None,None
1 protospacer assigned,3425,0.6067316209034543,None,None
More than 1 protospacer assigned,1057,0.18724534986713906,None,None
ACE2-1,63,0.011160318866253321,213,209.19973253500726
ACE2-1|RAB1A-2,1,0.0001771479185119575,536,0
ACE2-1|GSK3A-1,1,0.0001771479185119575,89,0
ACE2-1|CSNK2A1-2,1,0.0001771479185119575,149,0
ACE2-1|H2AFY-2,1,0.0001771479185119575,393,0
ACE2-1|SRRT-2,2,0.000354295837023915,554.5,124.5
ACE2-1|DPP4-1|ELOF1-2|Non-Targeting-7|PPIB-1|TRA2B-1,1,0.0001771479185119575,2760,0
ACE2-1|PPIB-1|RBM25-2,1,0.0001771479185119575,2358,0
ACE2-1|ELOF1-1,2,0.000354295837023915,1854.0,141.0
ACE2-1|EIF4EBP1-2,3,0.0005314437555358724,603,665.8575089478395
ACE2-1|ATF4-2,1,0.0001771479185119575,276,0
ACE2-1|CAMLG-2,1,0.0001771479185119575,624,0
ACE2-1|EZR-1|PPIB-1|RBBP4-1,1,0.0001771479185119575,2155,0
ACE2-1|ELOF1-2,1,0.0001771479185119575,152,0
ACE2-1|GSK3A-1|SMARCD1-1,1,0.0001771479185119575,601,0
ACE2-1|GRB2-2|Non-Targeting-7,1,0.0001771479185119575,2144,0
ACE2-1|ACE2-2|SMARCD1-2,1,0.0001771479185119575,1736,0
ACE2-1|ATF4-1,1,0.0001771479185119575,236,0
ACE2-1|Non-Targeting-5,1,0.0001771479185119575,519,0
ACE2-1|CSNK2A1-1|DPP4-1,1,0.0001771479185119575,310,0
ACE2-1|MORF4L1-2,1,0.0001771479185119575,718,0
ACE2-1|TMPRSS2-1,1,0.0001771479185119575,680,0
ACE2-1|RBBP4-2,1,0.0001771479185119575,324,0
ACE2-1|EZR-2|GRB2-1|GSK3A-1|KDM1A-1|MBNL1-2|MORF4L1-1|Non-Targeting-8|RBBP4-1,1,0.0001771479185119575,1650,0
ACE2-1|CTNNB1-2|MBNL1-1|MORF4L1-1,1,0.0001771479185119575,504,0
ACE2-1|CTNNB1-1,2,0.000354295837023915,1478.5,139.5
ACE2-1|EIF4EBP1-1|LMNA-1,1,0.0001771479185119575,521,0
ACE2-1|BRD4-1,1,0.0001771479185119575,250,0
ACE2-1|SNRNP40-1,1,0.0001771479185119575,291,0
ACE2-1|EZR-1|JUN-1,1,0.0001771479185119575,888,0
ACE2-1|SET-2|SNRNP40-1,2,0.000354295837023915,584.5,110.5
ACE2-1|EIF4EBP1-1|GSK3A-1|H2AFY-1|Non-Targeting-7,1,0.0001771479185119575,1795,0
ACE2-1|DPP4-1,1,0.0001771479185119575,535,0
ACE2-1|CDKN3-1|H2AFY-2|MBNL1-2,1,0.0001771479185119575,490,0
ACE2-1|MBNL1-2,1,0.0001771479185119575,505,0
ACE2-1|GSK3A-2,1,0.0001771479185119575,240,0
ACE2-1|ELOF1-1|EZR-2|JUN-2,1,0.0001771479185119575,1165,0
ACE2-1|RBBP4-1,2,0.000354295837023915,382.5,97.5
ACE2-1|Non-Targeting-7,1,0.0001771479185119575,342,0
ACE2-1|SUZ12-2,1,0.0001771479185119575,209,0
ACE2-1|BAZ1B-2|MBNL1-1,1,0.0001771479185119575,818,0
ACE2-1|TRA2B-1,1,0.0001771479185119575,922,0
ACE2-1|DPP4-2,1,0.0001771479185119575,39,0
ACE2-1|TMPRSS2-2,1,0.0001771479185119575,874,0
ACE2-1|CDKN3-1|DPP4-2|Non-Targeting-5,1,0.0001771479185119575,1101,0
ACE2-1|SUZ12-1,1,0.0001771479185119575,839,0
ACE2-2,81,0.014348981399468556,714,516.998542024461
ACE2-2|MBNL1-1,2,0.000354295837023915,1235.0,278.0
ACE2-2|CAMLG-2|CDKN3-1|MBNL1-2,1,0.0001771479185119575,578,0
ACE2-2|RAB1A-3,1,0.0001771479185119575,3289,0
ACE2-2|APH1A-1|CDKN3-2|EIF4EBP1-2|MORF4L1-2|RBM25-2,1,0.0001771479185119575,1904,0
ACE2-2|MORF4L1-2,2,0.000354295837023915,873.5,737.5
ACE2-2|CDKN3-2|MORF4L1-2|SET-2|UBE2N-1,2,0.000354295837023915,656.0,21.0
ACE2-2|ATF4-1|CAMLG-2|CDKN3-2|PAIP2-1,1,0.0001771479185119575,255,0
ACE2-2|EIF4EBP1-1|H2AFY-2,1,0.0001771479185119575,547,0
ACE2-2|SET-1,1,0.0001771479185119575,543,0
ACE2-2|CSNK2A1-2|EIF4EBP1-1|KDM1A-1,1,0.0001771479185119575,1832,0
ACE2-2|Non-Targeting-5,5,0.0008857395925597874,688,222.71955459725578
ACE2-2|BAZ1B-2|EIF4EBP1-2|PAIP2-1,1,0.0001771479185119575,1216,0
ACE2-2|LMNA-1|Non-Targeting-5,1,0.0001771479185119575,273,0
ACE2-2|EIF4EBP1-2|GRB2-1|KDM1A-1,1,0.0001771479185119575,619,0
ACE2-2|UBXN1-2,1,0.0001771479185119575,1061,0
ACE2-2|GRB2-2|SET-2,1,0.0001771479185119575,2040,0
ACE2-2|HDAC1-2,1,0.0001771479185119575,296,0
ACE2-2|SRRT-1,1,0.0001771479185119575,265,0
ACE2-2|BRD4-2,1,0.0001771479185119575,1521,0
ACE2-2|JUN-2,1,0.0001771479185119575,3005,0
ACE2-2|CSNK2A1-2,1,0.0001771479185119575,1554,0
ACE2-2|CDKN3-2|GSK3A-2|RBBP4-1,1,0.0001771479185119575,108,0
ACE2-2|GSK3A-1,1,0.0001771479185119575,1690,0
ACE2-2|CDKN3-1|Non-Targeting-8,1,0.0001771479185119575,1716,0
ACE2-2|MORF4L1-2|SUZ12-2,1,0.0001771479185119575,1973,0
ACE2-2|ATF4-1|Non-Targeting-7|TMPRSS2-1,1,0.0001771479185119575,958,0
ACE2-2|CDKN3-1,1,0.0001771479185119575,957,0
ACE2-2|HDAC1-1,1,0.0001771479185119575,170,0
ACE2-2|BRD4-1|HDAC1-2,1,0.0001771479185119575,1014,0
ACE2-2|APH1A-2|Non-Targeting-8|PAIP2-1|SNRNP70-2,1,0.0001771479185119575,693,0
ACE2-2|SET-2,1,0.0001771479185119575,60,0
ACE2-2|UBE2N-2,1,0.0001771479185119575,233,0
ACE2-2|TMPRSS2-2,1,0.0001771479185119575,230,0
ACE2-2|PPP2CA-1,1,0.0001771479185119575,574,0
ACE2-2|CSNK2A1-2|HDAC1-1|Non-Targeting-8,1,0.0001771479185119575,1422,0
ACE2-2|GRB2-1,1,0.0001771479185119575,1424,0
ACE2-2|BRD4-1|GSK3A-2|RBBP4-1,1,0.0001771479185119575,1312,0
ACE2-2|TMPRSS2-1,1,0.0001771479185119575,576,0
ACE2-2|UBXN1-1,1,0.0001771479185119575,1314,0
ACE2-2|CAMLG-1|DHX9-2|EIF4EBP1-2|ELOF1-1|ELOF1-2|H2AFY-1|HDAC1-2|MORF4L1-2|NOC2L-2|Non-Targeting-5|SRPK1-1|TPR-1,1,0.0001771479185119575,2423,0
ACE2-2|ATF4-2|GSK3A-1,1,0.0001771479185119575,523,0
ACE2-2|Non-Targeting-8,1,0.0001771479185119575,1961,0
APH1A-1,60,0.010628875110717449,519.0,381.3846862275528
APH1A-1|JUN-1,1,0.0001771479185119575,232,0
APH1A-1|CAMLG-2|JUN-1,1,0.0001771479185119575,601,0
APH1A-1|CSNK2A1-2|Non-Targeting-5|SUZ12-2,1,0.0001771479185119575,1034,0
APH1A-1|H2AFY-2|Non-Targeting-8|PPIB-1|SUZ12-2,1,0.0001771479185119575,1792,0
APH1A-1|ATF4-2|GSK3A-2|Non-Targeting-8,2,0.000354295837023915,805.5,122.5
APH1A-1|HRAS-2,1,0.0001771479185119575,841,0
APH1A-1|ATF4-1|PPIB-2,1,0.0001771479185119575,3749,0
APH1A-1|GSK3A-1,2,0.000354295837023915,1031.0,501.0
APH1A-1|MORF4L1-1|TMPRSS2-1,1,0.0001771479185119575,1189,0
APH1A-1|BRD4-2,1,0.0001771479185119575,903,0
APH1A-1|Non-Targeting-5|SRPK1-2|TMPRSS2-1,1,0.0001771479185119575,1842,0
APH1A-1|DPP4-1|ELOF1-2|GSK3A-1|RBM25-2,1,0.0001771479185119575,225,0
APH1A-1|CTNNB1-1|GRB2-1,2,0.000354295837023915,1456.0,48.0
APH1A-1|BRD4-1|RBBP4-2,1,0.0001771479185119575,192,0
APH1A-1|Non-Targeting-8,1,0.0001771479185119575,1058,0
APH1A-1|MBNL1-2,2,0.000354295837023915,347.5,68.5
APH1A-1|Non-Targeting-5,1,0.0001771479185119575,1537,0
APH1A-1|GSK3A-2|Non-Targeting-8,1,0.0001771479185119575,1742,0
APH1A-1|PAIP2-2|SNRNP40-1,1,0.0001771479185119575,921,0
APH1A-1|ELOF1-2,1,0.0001771479185119575,1165,0
APH1A-1|SET-1,1,0.0001771479185119575,704,0
APH1A-1|BRD4-2|CDKN3-2,1,0.0001771479185119575,650,0
APH1A-1|MBNL1-1|TMPRSS2-2,1,0.0001771479185119575,149,0
APH1A-1|TMPRSS2-1,1,0.0001771479185119575,78,0
APH1A-1|GRB2-2,1,0.0001771479185119575,583,0
APH1A-1|CSNK2A1-1,1,0.0001771479185119575,1065,0
APH1A-2,59,0.010451727192205492,51,53.42803045574276
APH1A-2|CDKN3-1|CDKN3-2|EZH2-1|PPIB-1,2,0.000354295837023915,447.0,174.0
APH1A-2|RBBP4-1,1,0.0001771479185119575,98,0
APH1A-2|DPP4-1,1,0.0001771479185119575,225,0
APH1A-2|MBNL1-1|SMARCD1-2,1,0.0001771479185119575,394,0
APH1A-2|H2AFY-1|SMARCD1-1,1,0.0001771479185119575,786,0
APH1A-2|PPIB-2,3,0.0005314437555358724,398,49.88876515698588
APH1A-2|Non-Targeting-5,3,0.0005314437555358724,521,255.9848085770369
APH1A-2|GSK3A-1,1,0.0001771479185119575,241,0
APH1A-2|ELOF1-1|SNRNP40-1,1,0.0001771479185119575,1045,0
APH1A-2|CSNK2A1-2,1,0.0001771479185119575,49,0
APH1A-2|MBNL1-1,1,0.0001771479185119575,287,0
APH1A-2|HRAS-2|PPIB-1,1,0.0001771479185119575,1223,0
APH1A-2|CSNK2A1-2|SNRNP70-1,1,0.0001771479185119575,63,0
APH1A-2|JUN-1,1,0.0001771479185119575,175,0
APH1A-2|BAZ1B-2,1,0.0001771479185119575,115,0
APH1A-2|SUZ12-2,2,0.000354295837023915,384.0,350.0
APH1A-2|EIF4EBP1-2|MORF4L1-2,1,0.0001771479185119575,223,0
APH1A-2|CAMLG-1,1,0.0001771479185119575,57,0
APH1A-2|BAZ1B-1|SMARCD1-2,1,0.0001771479185119575,186,0
APH1A-2|H2AFY-2,1,0.0001771479185119575,109,0
APH1A-2|SRRT-2,1,0.0001771479185119575,88,0
APH1A-2|PPIB-1,1,0.0001771479185119575,808,0
APH1A-2|HDAC1-2,1,0.0001771479185119575,626,0
APH1A-2|CSNK2A1-2|DHX9-2|TRA2B-2,1,0.0001771479185119575,1243,0
APH1A-2|EZR-1|SUZ12-2|TMPRSS2-2,1,0.0001771479185119575,318,0
APH1A-2|UBXN1-1,1,0.0001771479185119575,163,0
APH1A-2|ELOF1-2|EZR-2|KDM1A-1|SRPK1-2,1,0.0001771479185119575,1535,0
APH1A-2|EZH2-1,1,0.0001771479185119575,262,0
APH1A-2|PAIP2-1,1,0.0001771479185119575,387,0
APH1A-2|BRD4-2,1,0.0001771479185119575,132,0
APH1A-2|Non-Targeting-7|Non-Targeting-8,1,0.0001771479185119575,306,0
APH1A-2|BRD4-1|SMARCD1-1,1,0.0001771479185119575,397,0
ATF4-1,42,0.007440212577502214,216.0,209.3135321996759
ATF4-1|BAZ1B-1,1,0.0001771479185119575,568,0
ATF4-1|CDKN3-2|ELOF1-1|Non-Targeting-8|SUZ12-2,2,0.000354295837023915,334.5,49.5
ATF4-1|UBE2N-2,1,0.0001771479185119575,24,0
ATF4-1|SUZ12-2,1,0.0001771479185119575,288,0
ATF4-1|PAIP2-1,1,0.0001771479185119575,178,0
ATF4-1|JUN-1|SNRNP70-1,1,0.0001771479185119575,194,0
ATF4-1|Non-Targeting-5,2,0.000354295837023915,1376.5,390.5
ATF4-1|Non-Targeting-8,2,0.000354295837023915,490.5,250.5
ATF4-1|ATF4-2,1,0.0001771479185119575,151,0
ATF4-1|EZH2-2,1,0.0001771479185119575,1187,0
ATF4-1|Non-Targeting-7,1,0.0001771479185119575,442,0
ATF4-1|DPP4-2,1,0.0001771479185119575,100,0
ATF4-1|CAMLG-2|CDKN3-2,1,0.0001771479185119575,97,0
ATF4-1|GSK3A-1,1,0.0001771479185119575,178,0
ATF4-1|KDM1A-1,1,0.0001771479185119575,960,0
ATF4-1|HRAS-2,1,0.0001771479185119575,318,0
ATF4-1|RBBP4-1|TMPRSS2-1,1,0.0001771479185119575,485,0
ATF4-1|CSNK2A1-2|DPP4-1|Non-Targeting-8|SUZ12-2,1,0.0001771479185119575,2445,0
ATF4-1|JUN-1,1,0.0001771479185119575,1531,0
ATF4-1|CTNNB1-1|Non-Targeting-8,1,0.0001771479185119575,333,0
ATF4-2,41,0.007263064658990257,118,124.2909216094525
ATF4-2|BRD4-1|BRD4-2|CAMLG-1|PPIB-1|TMPRSS2-1,2,0.000354295837023915,576.5,151.5
ATF4-2|DHX9-2|PPP2CA-1,1,0.0001771479185119575,390,0
ATF4-2|SUZ12-2,1,0.0001771479185119575,492,0
ATF4-2|CDKN3-2|HRAS-1|JUN-2,1,0.0001771479185119575,1590,0
ATF4-2|CAMLG-1|RBM25-2,1,0.0001771479185119575,340,0
ATF4-2|BRD4-1|Non-Targeting-7,2,0.000354295837023915,524.0,50.0
ATF4-2|H2AFY-1,1,0.0001771479185119575,1095,0
ATF4-2|BAZ1B-2|JUN-1,2,0.000354295837023915,442.0,72.0
ATF4-2|EZH2-1,1,0.0001771479185119575,347,0
ATF4-2|H2AFY-2|HDAC1-1|Non-Targeting-8,1,0.0001771479185119575,1232,0
ATF4-2|HDAC1-1|MORF4L1-2,1,0.0001771479185119575,182,0
ATF4-2|ELOF1-2|UBE2N-2,1,0.0001771479185119575,303,0
ATF4-2|BAZ1B-2|JUN-2,2,0.000354295837023915,652.5,110.5
ATF4-2|Non-Targeting-5,5,0.0008857395925597874,634,633.1049202146513
ATF4-2|CSNK2A1-2|Non-Targeting-7,1,0.0001771479185119575,476,0
ATF4-2|ELOF1-1|H2AFY-1|Non-Targeting-8,1,0.0001771479185119575,2277,0
ATF4-2|GRB2-1,1,0.0001771479185119575,914,0
ATF4-2|HDAC1-2,1,0.0001771479185119575,199,0
ATF4-2|SRPK1-2,1,0.0001771479185119575,61,0
ATF4-2|BRD4-2,1,0.0001771479185119575,249,0
ATF4-2|PPIB-1,2,0.000354295837023915,989.5,113.5
ATF4-2|BAZ1B-1|GSK3A-2|RAB1A-2,1,0.0001771479185119575,580,0
ATF4-2|BAZ1B-2|GSK3A-1,1,0.0001771479185119575,205,0
ATF4-2|CAMLG-1,1,0.0001771479185119575,116,0
ATF4-2|SNRNP40-1,1,0.0001771479185119575,528,0
ATF4-2|GSK3A-1,1,0.0001771479185119575,307,0
ATF4-2|EIF4EBP1-2,1,0.0001771479185119575,338,0
ATF4-2|CDKN3-2,1,0.0001771479185119575,684,0
BAZ1B-1,33,0.005845881310894597,333,232.18985060024283
BAZ1B-1|CSNK2A1-2|Non-Targeting-5|SET-2|SRPK1-2,2,0.000354295837023915,220.5,14.5
BAZ1B-1|H2AFY-2,1,0.0001771479185119575,305,0
BAZ1B-1|GSK3A-2,2,0.000354295837023915,377.5,37.5
BAZ1B-1|MBNL1-2|Non-Targeting-5|Non-Targeting-7,2,0.000354295837023915,182.0,25.0
BAZ1B-1|NOC2L-1,1,0.0001771479185119575,373,0
