Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value,Cluster 5 Mean Counts,Cluster 5 Log2 fold change,Cluster 5 Adjusted p value,Cluster 6 Mean Counts,Cluster 6 Log2 fold change,Cluster 6 Adjusted p value
ENSG00000241860,AL627309.5,0,0.028109848080232425,1,0.0006877816144537551,2.6075614836871477,1,0,2.3247062415362834,1,0,1.4830600999412322,1,0,2.1480906328245393,1,0,2.509106394848036,1
ENSG00000237491,LINC01409,0.0005163982924743481,-0.7792450739773731,1,0.0006877816144537551,-0.19979343837045604,1,0.0018747624517963964,1.5173513194786779,0.9271610247298226,0.0033614517796296535,2.1611320050538696,1,0.0016780190965453461,1.3407357107669355,1,0,0.5091063948480361,1
ENSG00000228794,LINC01128,0.0020655931698973923,0.35003794296759416,1,0.0013755632289075101,-0.12940411047905798,1,0.0018747624517963964,0.8652746228989852,1,0.0011204839265432178,0.023628481303934024,1,0.0016780190965453461,0.6886590141872428,1,0.00421533749105801,1.7721408006818304,1
ENSG00000230368,FAM41C,0.0010327965849486961,1.6130723488013885,0.8928128201212178,0,-0.3924385163128523,1,0,1.3247062415362834,1,0.0011204839265432178,1.8980975992200761,1,0,1.1480906328245393,1,0,1.509106394848036,1
ENSG00000272438,AL645608.6,0.0010327965849486961,-0.708855746085975,1,0.0034389080722687752,1.3851690623507,1,0.0037495249035927928,1.587740647370076,0.7002865496986731,0,-1.1019024007799239,1,0.0016780190965453461,0.6886590141872428,1,0.002107668745529005,1.0496747762107397,1
ENSG00000230699,AL645608.2,0.0005163982924743481,0.44314734735907635,1,0,-0.3924385163128523,1,0,1.3247062415362834,1,0.0011204839265432178,1.8980975992200761,1,0.0016780190965453461,2.563128132103383,1,0,1.509106394848036,1
ENSG00000241180,AL645608.4,0.0005163982924743481,1.0281098480802324,1,0,0.02259898296599161,1,0,1.7397437408151255,1,0,0.8980975992200761,1,0.0016780190965453461,3.1480906328245393,1,0,1.92414389412688,1
ENSG00000223764,LINC02593,0.0005163982924743481,0.028109848080232425,1,0.0006877816144537551,0.6075614836871477,1,0,1.0027781466489198,1,0,0.1611320050538687,1,0,0.8261625379371775,1,0.00421533749105801,3.509106394848036,1
ENSG00000187634,SAMD11,0.015491948774230442,0.07541556285858775,1,0.014443413903528856,-0.041531354453723246,1,0.011248574710778378,-0.2602562591848745,1,0.016807258898148266,0.2542414094453518,1,0.010068114579272078,-0.4368718678966159,1,0.023184356200819056,0.79028814739209,1
ENSG00000188976,NOC2L,0.028401906086089144,0.44314734735907546,0.8928128201212178,0.027511264578150202,0.3357568682256229,1,0.018747624517963964,-0.2270893952496742,1,0.0190482267512347,-0.2777522361793414,1,0.01342415277236277,-0.7154073672705978,1,0.01686134996423204,-0.354391605247101,1
