Perturbation,Target Gene,Log2 Fold Change,p Value,Log2 Fold Change Lower Bound,Log2 Fold Change Upper Bound,Cells with Perturbation,Mean UMI Count Among Cells with Perturbation,Cells with Non-Targeting Guides,Mean UMI Count Among Cells with Non-Targeting Guides
RAB1A,RAB1A,-2.0696952421993586,0.08851668226706151,-2.4626998675995506,-1.5353012946117817,50,0.0,411,0.07785888077858881
MORF4L1,MORF4L1,-2.009694601165038,0.03905047096718994,-3.1929720760578033,-1.1306106292100266,60,0.016666666666666666,411,0.13138686131386862
SRPK1,SRPK1,-2.006376479367658,0.12234791558238443,-2.4298515617369687,-1.4552050179812737,65,0.0,411,0.05596107055961071
PPIB,PPIB,-1.908791064376349,0.0016605070390350272,-3.05592316601492,-1.1585685375545975,109,0.05504587155963303,411,0.21654501216545013
ELOF1,ELOF1,-1.8115000815153728,0.15201745128750846,-2.3131432743063183,-0.7958021249676133,135,0.0,411,0.024330900243309004
BAZ1B,BAZ1B,-1.8014760478014433,0.04709839357462982,-3.080799862039513,-0.8081752904457744,77,0.012987012987012988,411,0.08759124087591241
UBXN1,UBXN1,-1.7968046545636076,0.1527473127283183,-2.057953599087617,-1.300970909876063,48,0.0,411,0.0705596107055961
LMNA,LMNA,-1.792982411209255,0.07434249347543548,-2.959096902567618,-0.7412043098786727,46,0.021739130434782608,411,0.1386861313868613
HRAS,HRAS,-1.6141040901630523,0.1896335183924475,-2.008043517210356,-1.0673055833533818,63,0.0,411,0.043795620437956206
GSK3A,GSK3A,-1.5563742224631518,0.21445750103807557,-2.227679100299242,-0.8360077466141815,142,0.0,411,0.0170316301703163
H2AFY,H2AFY,-1.546154774445017,0.11686656298345081,-2.754657202628729,-0.541413735023935,78,0.01282051282051282,411,0.072992700729927
EIF4EBP1,EIF4EBP1,-1.425931122492801,0.1379066280580648,-2.9756167398147375,-0.2581842532777672,73,0.0273972602739726,411,0.10948905109489052
TPR,TPR,-1.2951320201287855,0.3493798370446574,-1.6000193176477113,-0.8735559652064864,20,0.0,411,0.1070559610705596
SUZ12,SUZ12,-1.2889118042910224,0.2559915881883867,-2.5203922662863683,-0.38082139025111994,79,0.012658227848101266,411,0.06326034063260341
CDKN3,CDKN3,-1.1821029893714066,0.2707933885490235,-2.458728350335041,-0.21761990918941,94,0.010638297872340425,411,0.043795620437956206
CAMLG,CAMLG,-1.1018570171865365,0.40871000596875956,-1.5874109153663705,-0.29323027020507997,69,0.0,411,0.0267639902676399
MBNL1,MBNL1,-1.0604936119380532,0.27992246783325264,-2.583476276266204,-0.14239043432867948,124,0.04032258064516129,411,0.09002433090024331
ATF4,ATF4,-0.8793031346760714,0.33548216571264666,-2.459237137962864,0.2012561102809567,94,0.02127659574468085,411,0.051094890510948905
SET,SET,-0.8010474887100134,0.36612017528815505,-1.817994536937313,0.05829532713737917,56,0.08928571428571429,411,0.17761557177615572
GRB2,GRB2,-0.7626956105172251,0.5811491210655202,-2.1096517821508085,0.29675693357214694,68,0.014705882352941176,411,0.04866180048661801
RBM25,RBM25,-0.75817991950376,0.387559266007856,-2.387285207000659,0.14806394425977532,51,0.0392156862745098,411,0.09245742092457421
PPP2CA,PPP2CA,-0.6090054447468427,0.6613171235575807,-1.1015970952442462,-0.11539364612626812,29,0.0,411,0.051094890510948905
JUN,JUN,-0.5635375327956478,0.7151801106355986,-2.012699998897835,0.5816779798395357,132,0.007575757575757576,411,0.019464720194647202
EZH2,EZH2,-0.5497241876864738,0.7395125237780905,-1.9110434599106876,0.7183527674493266,122,0.00819672131147541,411,0.024330900243309004
