Protospacer,UMI threshold
ACE2-1,15
ACE2-2,27
APH1A-1,39
APH1A-2,8
ATF4-1,12
ATF4-2,14
BAZ1B-1,17
BAZ1B-2,5
BRD4-1,8
BRD4-2,20
CAMLG-1,7
CAMLG-2,19
CDKN3-1,23
CDKN3-2,18
CSNK2A1-1,9
CSNK2A1-2,6
CTCF-1,4
CTCF-2,5
CTNNB1-1,34
CTNNB1-2,8
DHX9-1,9
DHX9-2,14
DPP4-1,29
DPP4-2,15
EIF4EBP1-1,16
EIF4EBP1-2,12
ELOF1-1,29
ELOF1-2,27
EZH2-1,29
EZH2-2,27
EZR-1,12
EZR-2,25
GRB2-1,16
GRB2-2,19
GSK3A-1,17
GSK3A-2,11
H2AFY-1,30
H2AFY-2,19
HDAC1-1,3
HDAC1-2,26
HRAS-1,4
HRAS-2,11
JUN-1,14
JUN-2,14
KDM1A-1,20
KDM1A-2,171
LMNA-1,12
LMNA-2,45
MBNL1-1,13
MBNL1-2,11
MORF4L1-1,10
MORF4L1-2,11
NOC2L-1,7
NOC2L-2,5
Non-Targeting-5,16
Non-Targeting-7,17
Non-Targeting-8,19
PAIP2-1,19
PAIP2-2,12
PPIB-1,21
PPIB-2,13
PPP2CA-1,29
PPP2CA-2,21
RAB1A-2,15
RAB1A-3,15
RBBP4-1,12
RBBP4-2,10
RBM25-1,6
RBM25-2,5
SET-1,24
SET-2,16
SMARCD1-1,7
SMARCD1-2,10
SNRNP40-1,22
SNRNP40-2,21
SNRNP70-1,13
SNRNP70-2,3
SRPK1-1,3
SRPK1-2,13
SRRT-1,11
SRRT-2,5
SUZ12-1,50
SUZ12-2,12
TMPRSS2-1,14
TMPRSS2-2,6
TPR-1,19
TPR-2,3
TRA2B-1,8
TRA2B-2,19
UBE2N-1,12
UBE2N-2,9
UBXN1-1,37
UBXN1-2,32
