.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L001_I1_001	1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	0.5
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L001_I2_001	1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	0.5
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L001_R1_001	1	1	1	1	1	1	1	1	1	1	1
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L001_R2_001	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L002_I1_001	1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	0.5
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L002_I2_001	1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	0.5
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L002_R1_001	1	1	1	1	1	1	1	1	1	1	1
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L002_R2_001	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L003_I1_001	1	1	1	1	0.25	0.25	1	1	0.25	0.25	0.5
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L003_I2_001	1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	0.5
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L003_R1_001	1	1	1	1	1	1	1	1	1	1	1
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L003_R2_001	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L004_I1_001	1	1	1	1	0.25	0.25	1	1	0.25	0.25	0.5
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L004_I2_001	1	1	1	1	0.25	0.25	1	1	0.25	0.25	0.5
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L004_R1_001	1	1	1	1	1	1	1	1	1	1	1
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L004_R2_001	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L001_I1_001	1	1	1	1	0.25	0.5	1	1	0.25	0.25	0.5
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L001_I2_001	1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	0.5
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L001_R1_001	1	1	1	1	1	1	1	1	1	1	1
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L001_R2_001	1	1	1	1	0.5	1	1	1	0.5	0.5	1
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L002_I1_001	1	1	1	1	0.25	0.25	1	1	0.25	0.25	0.5
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L002_I2_001	1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	0.5
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L002_R1_001	1	1	1	1	1	1	1	1	1	1	1
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L002_R2_001	1	1	0.5	1	0.5	1	1	1	0.5	0.5	1
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L003_I1_001	1	1	1	1	0.25	0.5	1	1	0.25	0.25	0.5
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L003_I2_001	1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	0.5
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L003_R1_001	1	1	1	1	1	1	1	1	1	1	1
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L003_R2_001	1	1	1	1	0.5	1	1	1	0.5	0.5	1
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L004_I1_001	1	1	1	1	0.25	0.5	1	1	0.25	0.25	0.5
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L004_I2_001	1	1	1	1	0.25	0.25	1	1	0.25	0.25	0.5
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L004_R1_001	1	1	1	1	1	1	1	1	1	1	1
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L004_R2_001	1	1	1	1	0.5	1	1	1	0.5	0.5	1
