Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L001_R2_001 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0001098511187787192)	(17, 0.0001098511187787192)	(18, 0.0001098511187787192)	(19, 0.0001098511187787192)	(20, 0.0001098511187787192)	(21, 0.0001098511187787192)	(22, 0.0001098511187787192)	(23, 0.0001098511187787192)	(24, 0.0001098511187787192)	(25, 0.0002197022375574384)	(26, 0.0002197022375574384)	(27, 0.0002197022375574384)	(28, 0.0002197022375574384)	(29, 0.0003295533563361576)	(30, 0.0004394044751148768)	(31, 0.0012083623065659113)	(32, 0.001647766781680788)	(33, 0.0023068734943531032)	(34, 0.0035152358009190145)	(35, 0.004943300345042364)	(36, 0.016038263341693004)	(37, 0.021091414805514085)	(38, 0.023178586062309752)	(39, 0.02889084423880315)	(40, 0.07403965405685674)	(41, 0.0795322099957927)	(42, 0.08480506369717122)	(43, 0.09051732187366462)	(44, 0.09699853788160906)	(45, 0.10611618074024275)	(46, 0.1184195060434593)	(47, 0.13006372463400354)	(48, 0.14807930811371348)	(49, 0.16741310501876808)	(50, 0.188174966467946)	(51, 0.20289501638429436)	(52, 0.2093762323922388)	(53, 0.21651655511285556)	(54, 0.21926283308232353)	(55, 0.22629330468416156)	(56, 0.22860017817851466)	(57, 0.2299183916038593)	(58, 0.23354347852355703)	(59, 0.23585035201791013)	(60, 0.2368390120869186)	(61, 0.2380473743934845)	(62, 0.2391458855812717)	(63, 0.23947543893760787)	(64, 0.24112320571928864)	(65, 0.2432103769760843)	(66, 0.29275323154528665)	(67, 0.29615861622742695)	(68, 0.2997837031471247)	(69, 0.3011019165724693)	(70, 0.30176102328514165)	(71, 0.3023102788790352)	(72, 0.3032989389480437)	(73, 0.3043974501358309)	(74, 0.3045073012546096)	(75, 0.30516640796728195)	(76, 0.3054959613236181)	(77, 0.3056058124423968)	(78, 0.30626491915506915)	(79, 0.30758313258041375)
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L001_R2_001 - polya	(1, 0.0002197022375574384)	(2, 0.0002197022375574384)	(3, 0.0002197022375574384)	(4, 0.0003295533563361576)	(5, 0.0004394044751148768)	(6, 0.0004394044751148768)	(7, 0.000549255593893596)	(8, 0.0007689578314510344)	(9, 0.0012083623065659113)	(10, 0.0018674690192382265)	(11, 0.004394044751148768)	(12, 0.0051630025825998025)	(13, 0.006151662651608276)	(14, 0.007579727195731625)	(15, 0.008897940621076255)	(16, 0.009776749571306009)	(17, 0.010875260759093201)	(18, 0.012083623065659112)	(19, 0.014280645441233496)	(20, 0.014500347678790935)	(21, 0.014720049916348373)	(22, 0.015049603272684531)	(23, 0.015269305510241969)	(24, 0.015269305510241969)	(25, 0.015489007747799408)	(26, 0.023837692774982065)	(27, 0.023837692774982065)	(28, 0.024167246131318224)	(29, 0.02581501291299901)	(30, 0.03614101807819862)	(31, 0.25320682878494777)	(32, 0.3220834802592047)	(33, 0.3340572522060851)	(34, 0.34537191744029316)	(35, 0.35558807148671406)	(36, 0.3786568064302451)	(37, 0.4061195861249249)	(38, 0.4353399837200642)	(39, 0.4610451455142845)	(40, 0.48543209388316017)	(41, 0.5068530620450103)	(42, 0.5291528391570904)	(43, 0.5496949983687109)	(44, 0.5790252470826289)	(45, 0.6034121954515046)	(46, 0.6281286971767164)	(47, 0.6484511541507795)	(48, 0.6673455465807192)	(49, 0.6852512789416504)	(50, 0.7005205844518924)	(51, 0.7133731653490025)	(52, 0.7272144063151211)	(53, 0.7429231163004779)	(54, 0.7577530173356051)	(55, 0.7749996429838639)	(56, 0.8013639114907566)	(57, 0.8216863684648197)	(58, 0.8357473116684957)	(59, 0.8522249794853035)	(60, 0.8670548805204307)	(61, 0.8855098684752555)	(62, 0.9191243108215436)	(63, 0.9507614330298146)	(64, 0.9681179097968523)	(65, 0.98547438656389)	(66, 1.0055771413003955)	(67, 1.0267784072246884)	(68, 1.0447939907043984)	(69, 1.0650065965596827)	(70, 1.0874162247905415)	(71, 1.1026855303007834)	(72, 1.1178449846922467)	(73, 1.1342128013902757)	(74, 1.1490427024254029)	(75, 1.1670582859051128)	(76, 1.1824374425341335)	(77, 1.1977067480443755)	(78, 1.2148435225738556)	(79, 1.2308817859155488)
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L001_R2_001 - polyg	(1, 0.12599923323919093)	(2, 0.1264386377143058)	(3, 0.1264386377143058)	(4, 0.1264386377143058)	(5, 0.12654848883308453)	(6, 0.12654848883308453)	(7, 0.12654848883308453)	(8, 0.1270977444269781)	(9, 0.1270977444269781)	(10, 0.12720759554575684)	(11, 0.12742729778331427)	(12, 0.12742729778331427)	(13, 0.127537148902093)	(14, 0.127537148902093)	(15, 0.127537148902093)	(16, 0.12775685113965043)	(17, 0.12775685113965043)	(18, 0.12775685113965043)	(19, 0.12786670225842914)	(20, 0.12786670225842914)	(21, 0.12786670225842914)	(22, 0.12786670225842914)	(23, 0.12786670225842914)	(24, 0.12786670225842914)	(25, 0.12786670225842914)	(26, 0.12786670225842914)	(27, 0.1280864044959866)	(28, 0.1299538735152248)	(29, 0.1299538735152248)	(30, 0.1299538735152248)	(31, 0.1299538735152248)	(32, 0.1299538735152248)	(33, 0.1299538735152248)	(34, 0.13006372463400354)	(35, 0.13006372463400354)	(36, 0.13006372463400354)	(37, 0.13028342687156097)	(38, 0.1305031291091184)	(39, 0.13072283134667584)	(40, 0.13072283134667584)	(41, 0.13083268246545457)	(42, 0.1309425335842333)	(43, 0.1309425335842333)	(44, 0.131052384703012)	(45, 0.13116223582179073)	(46, 0.13127208694056944)	(47, 0.13149178917812687)	(48, 0.1316016402969056)	(49, 0.13171149141568433)	(50, 0.13171149141568433)	(51, 0.13182134253446304)	(52, 0.13193119365324177)	(53, 0.13193119365324177)	(54, 0.13193119365324177)	(55, 0.13204104477202047)	(56, 0.1321508958907992)	(57, 0.13237059812835664)	(58, 0.13237059812835664)	(59, 0.13259030036591407)	(60, 0.13259030036591407)	(61, 0.13291985372225024)	(62, 0.13302970484102897)	(63, 0.13313955595980767)	(64, 0.1332494070785864)	(65, 0.1332494070785864)	(66, 0.1332494070785864)	(67, 0.1332494070785864)	(68, 0.13357896043492254)	(69, 0.13368881155370127)	(70, 0.13368881155370127)	(71, 0.13368881155370127)	(72, 0.13379866267248)	(73, 0.13379866267248)	(74, 0.1339085137912587)	(75, 0.13401836491003744)	(76, 0.13434791826637357)	(77, 0.1344577693851523)	(78, 0.13456762050393103)	(79, 0.13467747162270974)
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L002_R2_001 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.00021643171200730674)	(17, 0.00021643171200730674)	(18, 0.00021643171200730674)	(19, 0.00021643171200730674)	(20, 0.00021643171200730674)	(21, 0.00021643171200730674)	(22, 0.00021643171200730674)	(23, 0.00021643171200730674)	(24, 0.00021643171200730674)	(25, 0.0004328634240146135)	(26, 0.0004328634240146135)	(27, 0.0005410792800182668)	(28, 0.0005410792800182668)	(29, 0.0005410792800182668)	(30, 0.0005410792800182668)	(31, 0.0014068061280474939)	(32, 0.0016232378400548005)	(33, 0.002056101264069414)	(34, 0.0027053964000913343)	(35, 0.004112202528138828)	(36, 0.01612416254454435)	(37, 0.019803501648668568)	(38, 0.021967818768741633)	(39, 0.02889363355297545)	(40, 0.07326213451447333)	(41, 0.07791541632263042)	(42, 0.08246048227478386)	(43, 0.08808770678697384)	(44, 0.09479708985920035)	(45, 0.10421186933151819)	(46, 0.11438415979586161)	(47, 0.1261796881002598)	(48, 0.14468459947688456)	(49, 0.16621955482161158)	(50, 0.1877545101663386)	(51, 0.2027965141508464)	(52, 0.21080448749511677)	(53, 0.21632349615130309)	(54, 0.2193535401194054)	(55, 0.22898475130373053)	(56, 0.23071620499978898)	(57, 0.23169014770382185)	(58, 0.23547770266394974)	(59, 0.2372091563600082)	(60, 0.2378584514960301)	(61, 0.23937347348008126)	(62, 0.24034741618411412)	(63, 0.2411049271761397)	(64, 0.24207886988017258)	(65, 0.24489248213626758)	(66, 0.29369783319391524)	(67, 0.29781003572205406)	(68, 0.3017058065381856)	(69, 0.30257153338621484)	(70, 0.30289618095422577)	(71, 0.30322082852223675)	(72, 0.3041947712262696)	(73, 0.30527692978630616)	(74, 0.3056015773543171)	(75, 0.30592622492232807)	(76, 0.3063590883463427)	(77, 0.30711659933836827)	(78, 0.30787411033039386)	(79, 0.3089562688904304)
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L002_R2_001 - polya	(1, 0.00021643171200730674)	(2, 0.00021643171200730674)	(3, 0.0003246475680109601)	(4, 0.0004328634240146135)	(5, 0.0005410792800182668)	(6, 0.0007575109920255735)	(7, 0.000865726848029227)	(8, 0.0009739427040328803)	(9, 0.0014068061280474939)	(10, 0.002164317120073067)	(11, 0.005410792800182669)	(12, 0.006168303792208242)	(13, 0.008657268480292269)	(14, 0.01060515388835803)	(15, 0.012120175872409177)	(16, 0.013635197856460324)	(17, 0.014284492992482245)	(18, 0.015258435696515124)	(19, 0.016881673536569924)	(20, 0.017314536960584537)	(21, 0.017422752816588193)	(22, 0.017855616240602806)	(23, 0.017963832096606458)	(24, 0.01839669552062107)	(25, 0.018504911376624727)	(26, 0.02510607859284758)	(27, 0.025214294448851236)	(28, 0.025430726160858542)	(29, 0.027053964000913342)	(30, 0.03765911788927137)	(31, 0.2617741556728375)	(32, 0.33168159865119756)	(33, 0.3438017745236068)	(34, 0.35581373454001225)	(35, 0.36815034212442876)	(36, 0.39098388774119963)	(37, 0.42063503228620064)	(38, 0.45006974511919434)	(39, 0.4757169029920602)	(40, 0.49952439131286397)	(41, 0.5219250735056202)	(42, 0.5412957117302741)	(43, 0.5628306670750012)	(44, 0.5907503579239437)	(45, 0.6133674718287073)	(46, 0.6385817662775585)	(47, 0.6590345630622491)	(48, 0.680569518406976)	(49, 0.6976676236555532)	(50, 0.713358922776083)	(51, 0.7268859047765397)	(52, 0.7396553757849708)	(53, 0.7577274237375808)	(54, 0.7747173131301545)	(55, 0.7961440526188778)	(56, 0.8184365189556304)	(57, 0.8394303950203391)	(58, 0.8540395355808323)	(59, 0.8681075968613073)	(60, 0.8836906801258334)	(61, 0.9049009879025495)	(62, 0.9394218459677148)	(63, 0.9728605454728437)	(64, 0.9888764921613845)	(65, 1.0072731876820056)	(66, 1.0243712929305828)	(67, 1.041794045747171)	(68, 1.061489331539836)	(69, 1.0803188904844716)	(70, 1.0988238018610963)	(71, 1.1137575899896004)	(72, 1.1296653208221374)	(73, 1.1442744613826308)	(74, 1.157909659239091)	(75, 1.1755488437676864)	(76, 1.191997653880242)	(77, 1.2067150102967388)	(78, 1.2215405825692391)	(79, 1.2371236658337652)
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L002_R2_001 - polyg	(1, 0.12888508450035116)	(2, 0.12942616378036942)	(3, 0.12942616378036942)	(4, 0.12953437963637307)	(5, 0.12953437963637307)	(6, 0.12964259549237672)	(7, 0.12985902720438405)	(8, 0.130183674772395)	(9, 0.1304001064844023)	(10, 0.1304001064844023)	(11, 0.13050832234040596)	(12, 0.13061653819640962)	(13, 0.13061653819640962)	(14, 0.13061653819640962)	(15, 0.13083296990841692)	(16, 0.13115761747642787)	(17, 0.13126583333243153)	(18, 0.13126583333243153)	(19, 0.1315904809004425)	(20, 0.13169869675644616)	(21, 0.13169869675644616)	(22, 0.13191512846845346)	(23, 0.13191512846845346)	(24, 0.13202334432445711)	(25, 0.13213156018046077)	(26, 0.13223977603646442)	(27, 0.13278085531648268)	(28, 0.13570268342858133)	(29, 0.13570268342858133)	(30, 0.13570268342858133)	(31, 0.13570268342858133)	(32, 0.13570268342858133)	(33, 0.13581089928458498)	(34, 0.13602733099659228)	(35, 0.13635197856460324)	(36, 0.13678484198861784)	(37, 0.13710948955662883)	(38, 0.13710948955662883)	(39, 0.13732592126863613)	(40, 0.13765056883664709)	(41, 0.13765056883664709)	(42, 0.1378670005486544)	(43, 0.1378670005486544)	(44, 0.1380834322606617)	(45, 0.13819164811666534)	(46, 0.13819164811666534)	(47, 0.13819164811666534)	(48, 0.138299863972669)	(49, 0.138299863972669)	(50, 0.13840807982867265)	(51, 0.1385162956846763)	(52, 0.1385162956846763)	(53, 0.1385162956846763)	(54, 0.13862451154067995)	(55, 0.13873272739668363)	(56, 0.13884094325268728)	(57, 0.13884094325268728)	(58, 0.13894915910869093)	(59, 0.13894915910869093)	(60, 0.1392738066767019)	(61, 0.1392738066767019)	(62, 0.1394902383887092)	(63, 0.1394902383887092)	(64, 0.1394902383887092)	(65, 0.1394902383887092)	(66, 0.13981488595672015)	(67, 0.14003131766872745)	(68, 0.14003131766872745)	(69, 0.1401395335247311)	(70, 0.14024774938073475)	(71, 0.14057239694874574)	(72, 0.1408970445167567)	(73, 0.14100526037276034)	(74, 0.1413299079407713)	(75, 0.14143812379677495)	(76, 0.1417627713647859)	(77, 0.1419792030767932)	(78, 0.1419792030767932)	(79, 0.1419792030767932)
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L003_R2_001 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.00011128260997782138)	(16, 0.00044513043991128553)	(17, 0.00044513043991128553)	(18, 0.00044513043991128553)	(19, 0.00044513043991128553)	(20, 0.00044513043991128553)	(21, 0.0005564130498891069)	(22, 0.0005564130498891069)	(23, 0.0005564130498891069)	(24, 0.0005564130498891069)	(25, 0.0005564130498891069)	(26, 0.0006676956598669283)	(27, 0.0007789782698447497)	(28, 0.0007789782698447497)	(29, 0.0007789782698447497)	(30, 0.0008902608798225711)	(31, 0.001446673929711678)	(32, 0.002336934809534249)	(33, 0.00322719568935682)	(34, 0.0035610435192902842)	(35, 0.004896434839024141)	(36, 0.017471369766517957)	(37, 0.02270165243547556)	(38, 0.025372435074943273)	(39, 0.0307140003538787)	(40, 0.07567217478491854)	(41, 0.08157015311374306)	(42, 0.08668915317272285)	(43, 0.09091789235188007)	(44, 0.0958143271909042)	(45, 0.10582976208890812)	(46, 0.11573391437693423)	(47, 0.1274185884246055)	(48, 0.14667047995076857)	(49, 0.16681263235675425)	(50, 0.18517426300309478)	(51, 0.19863945881041115)	(52, 0.20587282845896954)	(53, 0.2113256763478828)	(54, 0.21421902420730615)	(55, 0.22056213297604196)	(56, 0.2222313721257093)	(57, 0.22323291561550967)	(58, 0.22779550262460035)	(59, 0.2301324374341346)	(60, 0.23091141570397936)	(61, 0.2321355244137354)	(62, 0.23302578529355797)	(63, 0.23413861139333617)	(64, 0.23458374183324746)	(65, 0.23680939403280388)	(66, 0.28833324245253517)	(67, 0.29200556858180327)	(68, 0.29645687298091616)	(69, 0.2979035469106278)	(70, 0.29845995996051694)	(71, 0.29845995996051694)	(72, 0.2997953512802508)	(73, 0.30068561216007333)	(74, 0.30101945999000684)	(75, 0.3011307425999846)	(76, 0.30168715564987375)	(77, 0.3024661339197185)	(78, 0.3031338295795854)	(79, 0.30424665567936365)
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L003_R2_001 - polya	(1, 0.00011128260997782138)	(2, 0.00011128260997782138)	(3, 0.00022256521995564276)	(4, 0.00044513043991128553)	(5, 0.0008902608798225711)	(6, 0.0011128260997782138)	(7, 0.001446673929711678)	(8, 0.0017805217596451421)	(9, 0.002003086979600785)	(10, 0.0025595000294898916)	(11, 0.00400617395920157)	(12, 0.0050077174490019616)	(13, 0.0071220870385805685)	(14, 0.009013891408203531)	(15, 0.011128260997782137)	(16, 0.012018521877604708)	(17, 0.01379904363724985)	(18, 0.014689304517072422)	(19, 0.015690848006872815)	(20, 0.016358543666739743)	(21, 0.01702623932660667)	(22, 0.017471369766517957)	(23, 0.017582652376495776)	(24, 0.0176939349864736)	(25, 0.01791650020642924)	(26, 0.02503858724500981)	(27, 0.02503858724500981)	(28, 0.025261152464965454)	(29, 0.026707826394677132)	(30, 0.03772480478248145)	(31, 0.2695264813662834)	(32, 0.335183221253198)	(33, 0.34653404747093575)	(34, 0.3584412867385626)	(35, 0.3717951999359012)	(36, 0.3957209610811328)	(37, 0.4232077657456547)	(38, 0.45369920087957777)	(39, 0.47851522290463194)	(40, 0.5033312449296861)	(41, 0.5252539190953169)	(42, 0.5436155497416574)	(43, 0.5645366804174878)	(44, 0.5966973547010782)	(45, 0.6204005506263541)	(46, 0.6448827248214749)	(47, 0.6646910293975271)	(48, 0.6822736817740228)	(49, 0.7000788993704743)	(50, 0.7148794864975245)	(51, 0.7275657040349962)	(52, 0.7403632041824456)	(53, 0.7573894435090522)	(54, 0.7724125958560581)	(55, 0.789995248232554)	(56, 0.813030748497963)	(57, 0.8333954661239042)	(58, 0.8469719445411985)	(59, 0.8606597055684705)	(60, 0.8764618361853211)	(61, 0.8944896190017282)	(62, 0.9292097933148085)	(63, 0.9627058589181328)	(64, 0.9834044243740075)	(65, 1.0022111854602593)	(66, 1.0215743595964002)	(67, 1.040381120682652)	(68, 1.0588540339389705)	(69, 1.078996186344956)	(70, 1.1006962952906312)	(71, 1.1152743171977257)	(72, 1.1312990130345322)	(73, 1.1474349914813162)	(74, 1.1640161003680116)	(75, 1.179373100544951)	(76, 1.1931721441822007)	(77, 1.207416318259362)	(78, 1.2243312749759907)	(79, 1.241023666472664)
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L003_R2_001 - polyg	(1, 0.12931039279422843)	(2, 0.12942167540420627)	(3, 0.1296442406241619)	(4, 0.1296442406241619)	(5, 0.12975552323413972)	(6, 0.12975552323413972)	(7, 0.12975552323413972)	(8, 0.12986680584411756)	(9, 0.12986680584411756)	(10, 0.12986680584411756)	(11, 0.12997808845409536)	(12, 0.12997808845409536)	(13, 0.130200653674051)	(14, 0.130200653674051)	(15, 0.130200653674051)	(16, 0.13031193628402882)	(17, 0.13031193628402882)	(18, 0.13031193628402882)	(19, 0.13031193628402882)	(20, 0.13042321889400665)	(21, 0.13042321889400665)	(22, 0.13053450150398446)	(23, 0.13053450150398446)	(24, 0.1306457841139623)	(25, 0.1306457841139623)	(26, 0.1306457841139623)	(27, 0.1307570667239401)	(28, 0.13309400153347437)	(29, 0.13309400153347437)	(30, 0.13309400153347437)	(31, 0.13309400153347437)	(32, 0.13309400153347437)	(33, 0.13309400153347437)	(34, 0.13309400153347437)	(35, 0.13320528414345217)	(36, 0.13342784936340782)	(37, 0.1337616971933413)	(38, 0.1337616971933413)	(39, 0.13409554502327475)	(40, 0.1342068276332526)	(41, 0.1342068276332526)	(42, 0.13442939285320823)	(43, 0.13442939285320823)	(44, 0.13442939285320823)	(45, 0.13442939285320823)	(46, 0.13454067546318604)	(47, 0.13465195807316385)	(48, 0.13465195807316385)	(49, 0.1347632406831417)	(50, 0.13498580590309733)	(51, 0.13509708851307514)	(52, 0.13509708851307514)	(53, 0.13520837112305298)	(54, 0.13543093634300862)	(55, 0.13543093634300862)	(56, 0.13554221895298643)	(57, 0.13554221895298643)	(58, 0.1358760667829199)	(59, 0.13598734939289772)	(60, 0.13598734939289772)	(61, 0.13620991461285337)	(62, 0.136432479832809)	(63, 0.136432479832809)	(64, 0.13654376244278682)	(65, 0.1368776102727203)	(66, 0.1368776102727203)	(67, 0.13710017549267595)	(68, 0.13721145810265375)	(69, 0.13721145810265375)	(70, 0.1374340233226094)	(71, 0.1375453059325872)	(72, 0.1378791537625207)	(73, 0.1379904363724985)	(74, 0.13821300159245414)	(75, 0.13832428420243198)	(76, 0.1384355668124098)	(77, 0.1384355668124098)	(78, 0.13854684942238762)	(79, 0.13854684942238762)
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L004_R2_001 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.00010985775617730163)	(16, 0.0003295732685319049)	(17, 0.0003295732685319049)	(18, 0.0003295732685319049)	(19, 0.0003295732685319049)	(20, 0.0003295732685319049)	(21, 0.0003295732685319049)	(22, 0.0003295732685319049)	(23, 0.0003295732685319049)	(24, 0.0003295732685319049)	(25, 0.0003295732685319049)	(26, 0.0004394310247092065)	(27, 0.0005492887808865081)	(28, 0.0005492887808865081)	(29, 0.0005492887808865081)	(30, 0.0005492887808865081)	(31, 0.0016478663426595245)	(32, 0.0024168706359006357)	(33, 0.002746443904432541)	(34, 0.003515448197673652)	(35, 0.0048337412718012715)	(36, 0.015709659133354134)	(37, 0.0203236848928008)	(38, 0.02285041328487874)	(39, 0.028453158849921122)	(40, 0.06822166658610432)	(41, 0.0741539854196786)	(42, 0.07865815342294796)	(43, 0.08459047225652226)	(44, 0.09052279109009655)	(45, 0.09777340299779845)	(46, 0.10963804066494702)	(47, 0.12227168262533672)	(48, 0.1408376434193007)	(49, 0.162809194654761)	(50, 0.1825835907666753)	(51, 0.19774396111914294)	(52, 0.20631286610097246)	(53, 0.21213532717836944)	(54, 0.214881771082802)	(55, 0.22202252523432658)	(56, 0.22367039157698612)	(57, 0.22476896913875913)	(58, 0.2278449863117236)	(59, 0.2297125681667377)	(60, 0.23037171470380152)	(61, 0.2307012879723334)	(62, 0.23278858533970215)	(63, 0.23388716290147518)	(64, 0.23465616719471627)	(65, 0.23751246885532612)	(66, 0.28563016606098424)	(67, 0.2884864677215941)	(68, 0.2925512047001542)	(69, 0.29353992450574995)	(70, 0.2939793555304592)	(71, 0.2947483598237003)	(72, 0.2950779330922322)	(73, 0.2960666528978279)	(74, 0.2965060839225371)	(75, 0.296835657191069)	(76, 0.2971652304596009)	(77, 0.2978243769966647)	(78, 0.29848352353372853)	(79, 0.29936238558314693)
