Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L001_I1_001	97.86306618639757	1.3330433263797516
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L001_I2_001	97.65204218722366	1.6689680476050768
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L001_R1_001	0.0	0.0
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L001_R2_001	3.494583790588615	65.63340704343403
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L002_I1_001	98.02094842540518	1.2001138430805156
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L002_I2_001	97.65452953697682	1.617177752118593
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L002_R1_001	0.0	0.0
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L002_R2_001	3.509873073622493	65.91341216497725
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L003_I1_001	97.89787149751895	1.2597191449489316
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L003_I2_001	97.7506446045183	1.4892951693331895
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L003_R1_001	0.0	0.0
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L003_R2_001	3.5021750186120166	66.17197837111192
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L004_I1_001	97.80295473421015	1.3192817939332144
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L004_I2_001	97.62081057446818	1.7427834439967143
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L004_R1_001	0.0	0.0
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L004_R2_001	3.523907244899304	65.75217408499475
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L001_I1_001	97.43408627735512	1.9855742042871896
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L001_I2_001	96.74864758165192	2.519072566447221
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L001_R1_001	0.0	0.0
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L001_R2_001	0.18053584575495354	0.31092284546686444
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L002_I1_001	97.63801703977883	1.7977525719475551
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L002_I2_001	96.55206604944848	2.716723434284404
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L002_R1_001	0.0	0.0
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L002_R2_001	0.176790078658927	0.32098580510687047
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L003_I1_001	97.46600545939339	1.9037153853136886
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L003_I2_001	97.02815619860708	2.2656693668074723
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L003_R1_001	0.0	0.0
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L003_R2_001	0.18071309895519963	0.30337000373670775
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L004_I1_001	97.39202689578521	1.9373848439190198
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L004_I2_001	96.70018722492706	2.519567236275307
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L004_R1_001	0.0	0.0
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L004_R2_001	0.17851184872395906	0.42067167208223444
