Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L001_I1_001	(1, 0.02922039759513931)	(2, 0.004943300345042364)	(3, 0.0)	(4, 0.0)	(5, 0.00021970223755743838)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0012083623065659113)																																																																																
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L001_I2_001	(1, 0.2902266558133761)	(2, 0.014829901035127093)	(3, 0.0)	(4, 0.0)	(5, 0.00043940447511487676)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.00010985111877871919)	(10, 0.0007689578314510344)																																																																																
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L001_R1_001	(1, 0.007030471601838028)	(2, 0.013951092084897337)	(3, 0.00010985111877871919)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.00845853614596138)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.00043940447511487676)	(21, 0.0)	(22, 0.0)	(23, 0.0013182134253446305)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.00010985111877871919)																																																														
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L001_R2_001	(1, 0.0024167246131318225)	(2, 0.01219347418443783)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.00010985111877871919)	(8, 0.00010985111877871919)	(9, 0.0)	(10, 0.001098511187787192)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0007689578314510344)	(18, 0.00010985111877871919)	(19, 0.0006591067126723153)	(20, 0.00043940447511487676)	(21, 0.0)	(22, 0.0008788089502297535)	(23, 0.00021970223755743838)	(24, 0.00032955335633615764)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.00032955335633615764)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0008788089502297535)	(42, 0.0)	(43, 0.00043940447511487676)	(44, 0.0018674690192382265)	(45, 0.001757617900459507)	(46, 0.00021970223755743838)	(47, 0.00043940447511487676)	(48, 0.0009886600690084727)	(49, 0.00021970223755743838)	(50, 0.0)	(51, 0.0)	(52, 0.00043940447511487676)	(53, 0.00021970223755743838)	(54, 0.0)	(55, 0.00021970223755743838)	(56, 0.0)	(57, 0.000549255593893596)	(58, 0.0018674690192382265)	(59, 0.00032955335633615764)	(60, 0.0)	(61, 0.0)	(62, 0.0)	(63, 0.00010985111877871919)	(64, 0.0)	(65, 0.00010985111877871919)	(66, 0.00043940447511487676)	(67, 0.0)	(68, 0.0)	(69, 0.0)	(70, 0.0008788089502297535)	(71, 0.0)	(72, 0.0)	(73, 0.0)	(74, 0.0)	(75, 0.0)	(76, 0.0)	(77, 0.0)	(78, 0.0)	(79, 0.0)	(80, 0.0007689578314510344)	(81, 0.00043940447511487676)	(82, 0.0)	(83, 0.0)	(84, 0.0)	(85, 0.002526575731910542)	(86, 0.0)	(87, 0.0)	(88, 0.0)	(89, 0.0)	(90, 0.003734938038476453)
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L002_I1_001	(1, 0.02153495534472702)	(2, 0.004436850096149789)	(3, 0.0)	(4, 0.0)	(5, 0.0002164317120073067)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)																																																																																
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L002_I2_001	(1, 0.30527692978630616)	(2, 0.010713369744361684)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0006492951360219202)																																																																																
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L002_R1_001	(1, 0.003354691536113254)	(2, 0.00963121118432515)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.010821585600365337)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0003246475680109601)	(21, 0.0)	(22, 0.0)	(23, 0.0008657268480292268)	(24, 0.00010821585600365336)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0003246475680109601)																																																														
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L002_R2_001	(1, 0.0009739427040328803)	(2, 0.0017314536960584537)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.00010821585600365336)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0004328634240146134)	(20, 0.00010821585600365336)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.00010821585600365336)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0003246475680109601)	(45, 0.0017314536960584537)	(46, 0.0)	(47, 0.00010821585600365336)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 0.0)	(52, 0.0)	(53, 0.0)	(54, 0.0)	(55, 0.0)	(56, 0.0)	(57, 0.0002164317120073067)	(58, 0.0004328634240146134)	(59, 0.0)	(60, 0.0)	(61, 0.0)	(62, 0.0)	(63, 0.0)	(64, 0.0)	(65, 0.00010821585600365336)	(66, 0.0002164317120073067)	(67, 0.0)	(68, 0.0)	(69, 0.0)	(70, 0.0003246475680109601)	(71, 0.0)	(72, 0.0)	(73, 0.0)	(74, 0.00010821585600365336)	(75, 0.00010821585600365336)	(76, 0.0)	(77, 0.00010821585600365336)	(78, 0.0)	(79, 0.00010821585600365336)	(80, 0.0002164317120073067)	(81, 0.0002164317120073067)	(82, 0.00010821585600365336)	(83, 0.00010821585600365336)	(84, 0.00010821585600365336)	(85, 0.0034629073921169074)	(86, 0.0)	(87, 0.00010821585600365336)	(88, 0.00010821585600365336)	(89, 0.0)	(90, 0.0009739427040328803)
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L003_I1_001	(1, 0.030268869913967412)	(2, 0.014355456687138956)	(3, 0.0)	(4, 0.0)	(5, 0.0010015434898003924)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0005564130498891069)																																																																																
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L003_I2_001	(1, 0.3117025905478777)	(2, 0.004228739179157212)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0003338478299334641)	(8, 0.0)	(9, 0.0)	(10, 0.003894891349223748)																																																																																
