Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L001_I1_001	(1, 35.28538222147523)	(2, 36.268948494105935)	(3, 26.889953346229856)	(4, 36.001901522866056)	(5, 36.221212690440645)	(6, 34.65196529144051)	(7, 36.242143722612745)	(8, 35.830801814301076)	(9, 36.09439396785537)	(10, 36.02289736719823)																																																																																
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L001_I2_001	(1, 28.545308643195877)	(2, 34.63089694536994)	(3, 34.311800317030325)	(4, 35.62703897407843)	(5, 35.21147438876091)	(6, 35.12463488234396)	(7, 36.15844156414811)	(8, 35.02363336969405)	(9, 36.31447738879497)	(10, 35.87505094345634)																																																																																
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L001_R1_001	(1, 35.684890967272054)	(2, 35.944030854982245)	(3, 35.96807067381578)	(4, 36.066504965819824)	(5, 36.06548115339281)	(6, 36.055568188434215)	(7, 36.07514915035652)	(8, 36.202531409181134)	(9, 36.148425339137866)	(10, 36.11573364618932)	(11, 36.14621293760566)	(12, 36.113002747376484)	(13, 36.144209253199136)	(14, 36.15254475609207)	(15, 36.124875456294085)	(16, 36.135254189996296)	(17, 36.11959601152558)	(18, 36.14884936445635)	(19, 36.14438281796681)	(20, 36.15518777400988)	(21, 36.16873681100005)	(22, 36.15826799938044)	(23, 36.16381548087877)	(24, 36.16341122876166)	(25, 36.170964591688886)	(26, 36.087686458542734)	(27, 36.02528003796455)	(28, 36.03483598678711)																																																														
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L001_R2_001	(1, 36.23827037216461)	(2, 35.93961484000734)	(3, 35.96873527308439)	(4, 36.13424575672591)	(5, 36.32378727111146)	(6, 35.985445825273004)	(7, 35.542599714606794)	(8, 35.83292743344945)	(9, 35.88999179412143)	(10, 35.85220960032868)	(11, 36.00362398840851)	(12, 36.00391619238446)	(13, 36.06251956723053)	(14, 36.20082432279531)	(15, 36.44803547751732)	(16, 36.317514772229195)	(17, 36.03842372432642)	(18, 36.0122418086767)	(19, 36.180029506010506)	(20, 35.89210972369148)	(21, 36.23199787328234)	(22, 36.031196619221966)	(23, 35.634812039243215)	(24, 36.03378581009158)	(25, 35.84765956698886)	(26, 35.75301843411624)	(27, 34.930053398628836)	(28, 36.14122349979073)	(29, 36.01384673352206)	(30, 36.07397044785203)	(31, 36.042337719688504)	(32, 35.990350677726475)	(33, 35.87428747818082)	(34, 35.82149083347339)	(35, 35.89407386169525)	(36, 35.970251218523536)	(37, 36.01214404118099)	(38, 35.94529084731464)	(39, 35.92004486319691)	(40, 35.854944893186264)	(41, 35.94327398077386)	(42, 35.8882671315566)	(43, 35.83178608032534)	(44, 35.745872618839684)	(45, 35.737197675989734)	(46, 35.60328916219847)	(47, 35.37980584913267)	(48, 35.594937181637725)	(49, 35.57317457649648)	(50, 35.59337839426226)	(51, 35.65572769225868)	(52, 34.974769395038905)	(53, 34.968239844538694)	(54, 35.39912866092585)	(55, 35.89208555644535)	(56, 35.901646997823846)	(57, 35.53316570052608)	(58, 35.72276653451577)	(59, 35.69964507103523)	(60, 35.932433872372776)	(61, 35.86953312176008)	(62, 35.801352926378875)	(63, 35.75579437188778)	(64, 35.54923362366984)	(65, 35.820883356786545)	(66, 35.730791158742555)	(67, 35.79645356648135)	(68, 35.77599709114237)	(69, 35.82371422011747)	(70, 35.53883291974387)	(71, 35.59449448162905)	(72, 36.002463960594206)	(73, 35.930219273818196)	(74, 35.69454468359033)	(75, 35.74799823798806)	(76, 35.482274972729456)	(77, 35.07896318120052)	(78, 35.50572598956634)	(79, 35.519947315403435)	(80, 35.81482616609709)	(81, 35.62255704843226)	(82, 35.07912795787869)	(83, 35.48788836489905)	(84, 35.49828467478027)	(85, 35.48651632442551)	(86, 35.53562746409791)	(87, 35.66220671124425)	(88, 35.808255970682936)	(89, 35.4586416030354)	(90, 35.20746701994786)
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L002_I1_001	(1, 35.435790662919516)	(2, 36.31204907805501)	(3, 27.17177535686884)	(4, 36.08145732128963)	(5, 36.268177287872575)	(6, 34.73069618506643)	(7, 36.279420915311356)	(8, 35.908926617745884)	(9, 36.16411908505658)	(10, 36.06612097017679)																																																																																
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L002_I2_001	(1, 27.77854057932276)	(2, 34.60647195748415)	(3, 34.332533257437944)	(4, 35.70318446799462)	(5, 35.18811162249115)	(6, 35.1599971431014)	(7, 36.18602630294596)	(8, 35.04545715247289)	(9, 36.35135848774834)	(10, 35.935268521414294)																																																																																
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L002_R1_001	(1, 35.757144140273724)	(2, 36.00465544612528)	(3, 36.02963058353236)	(4, 36.11827235550207)	(5, 36.13461727839287)	(6, 36.126120169379455)	(7, 36.13555226338874)	(8, 36.26085756737249)	(9, 36.21121029695513)	(10, 36.17256641477623)	(11, 36.20884253402577)	(12, 36.17979739827439)	(13, 36.203254267221745)	(14, 36.20406588614177)	(15, 36.20025668801044)	(16, 36.20065708667765)	(17, 36.18957794734)	(18, 36.20342091963999)	(19, 36.209435556916674)	(20, 36.221154251963306)	(21, 36.224542490414784)	(22, 36.228278101764026)	(23, 36.227856059925614)	(24, 36.22725979055903)	(25, 36.228847317166604)	(26, 36.15184524266865)	(27, 36.0866083960354)	(28, 36.09274315291225)																																																														
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L002_R2_001	(1, 36.22098543522794)	(2, 35.97478029475835)	(3, 36.05575821980588)	(4, 36.1938156802611)	(5, 36.349979817742856)	(6, 36.060953663052615)	(7, 35.60310644436244)	(8, 35.916832868185516)	(9, 35.95726880493984)	(10, 35.870667984014354)	(11, 36.042330796392946)	(12, 36.01279868928955)	(13, 36.14194132752719)	(14, 36.23189034703743)	(15, 36.44640230975923)	(16, 36.361532942529806)	(17, 36.09591712396884)	(18, 36.07531498930286)	(19, 36.20144056947512)	(20, 35.95853384829652)	(21, 36.237814082995065)	(22, 36.07748796369142)	(23, 35.68498472533192)	(24, 36.05100970804444)	(25, 35.90420191347277)	(26, 35.75492246874997)	(27, 34.98669594266291)	(28, 36.21332916341568)	(29, 36.0634696817047)	(30, 36.144980028763776)	(31, 36.105695508717325)	(32, 36.02642090124329)	(33, 35.91867794853037)	(34, 35.84726738731212)	(35, 35.93275574923789)	(36, 36.024728405255395)	(37, 36.063850601517835)	(38, 36.00093823147155)	(39, 35.969648698866656)	(40, 35.91214495730343)	(41, 35.98835489173545)	(42, 35.93763195570941)	(43, 35.87576495083213)	(44, 35.791539467945924)	(45, 35.78179463011279)	(46, 35.657519541078194)	(47, 35.442396158769974)	(48, 35.64177196971254)	(49, 35.629822774892624)	(50, 35.649515896368165)	(51, 35.70969689820892)	(52, 35.03317465281648)	(53, 35.0573608966333)	(54, 35.45194837237942)	(55, 35.921927670686166)	(56, 35.91650389198326)	(57, 35.602426848786735)	(58, 35.72677985323766)	(59, 35.74895977508417)	(60, 35.974589834851784)	(61, 35.904812250900626)	(62, 35.85321276644096)	(63, 35.795877841613105)	(64, 35.617100918860835)	(65, 35.87553445105884)	(66, 35.74426969988497)	(67, 35.84135447294008)	(68, 35.823087636446665)	(69, 35.844326080345944)	(70, 35.5859098626849)	(71, 35.644797685046406)	(72, 36.02520239070469)	(73, 35.95559795212314)	(74, 35.735392753216985)	(75, 35.76804580560753)	(76, 35.50934606240376)	(77, 35.131972482872136)	(78, 35.531794359573155)	(79, 35.56389875757376)	(80, 35.84575885827943)	(81, 35.623059283892395)	(82, 35.092482352699285)	(83, 35.53036266379822)	(84, 35.500510237761056)	(85, 35.502461369644806)	(86, 35.5569437245084)	(87, 35.67866167286563)	(88, 35.82211477590119)	(89, 35.445483557141756)	(90, 35.21337461407521)
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L003_I1_001	(1, 35.34735976443697)	(2, 36.26912808962256)	(3, 27.104794833816115)	(4, 36.04373295289518)	(5, 36.22461504563143)	(6, 34.678326487598106)	(7, 36.252621540084554)	(8, 35.86697165520641)	(9, 36.12928034648954)	(10, 36.04034662307356)																																																																																
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L003_I2_001	(1, 29.237894399480087)	(2, 34.70383913876162)	(3, 34.38814817947214)	(4, 35.74891193428094)	(5, 35.19779816227898)	(6, 35.1986928744632)	(7, 36.196073281824326)	(8, 35.056426960215354)	(9, 36.35840456347727)	(10, 35.94503084197535)																																																																																
