Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L001_I1_001	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 3851.5)	(36.0, 7703.0)	(37.0, 7703.0)	(38.0, 7703.0)	(39.0, 7703.0)	(40.0, 7703.0)	(41.0, 7703.0)	(42.0, 7703.0)	(43.0, 7703.0)	(44.0, 7703.0)	(45.0, 452435.0)	(46.0, 897167.0)	(47.0, 897167.0)	(48.0, 897167.0)	(49.0, 897167.0)	(50.0, 897167.0)	(51.0, 897167.0)	(52.0, 897167.0)	(53.0, 897167.0)	(54.0, 897167.0)	(55.0, 451310.0)	(56.0, 5453.0)	(57.0, 5453.0)	(58.0, 5453.0)	(59.0, 5453.0)	(60.0, 5453.0)	(61.0, 5453.0)	(62.0, 5453.0)	(63.0, 5453.0)	(64.0, 5453.0)	(65.0, 2726.5)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L001_I2_001	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 5278.5)	(36.0, 10557.0)	(37.0, 10557.0)	(38.0, 10557.0)	(39.0, 10557.0)	(40.0, 10557.0)	(41.0, 10557.0)	(42.0, 10557.0)	(43.0, 10557.0)	(44.0, 10557.0)	(45.0, 453422.0)	(46.0, 896287.0)	(47.0, 896287.0)	(48.0, 896287.0)	(49.0, 896287.0)	(50.0, 896287.0)	(51.0, 896287.0)	(52.0, 896287.0)	(53.0, 896287.0)	(54.0, 896287.0)	(55.0, 449883.0)	(56.0, 3479.0)	(57.0, 3479.0)	(58.0, 3479.0)	(59.0, 3479.0)	(60.0, 3479.0)	(61.0, 3479.0)	(62.0, 3479.0)	(63.0, 3479.0)	(64.0, 3479.0)	(65.0, 1739.5)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L001_R1_001	(0.0, 1.0)	(1.0, 1.0)	(2.0, 3.5)	(3.0, 6.0)	(4.0, 6.0)	(5.0, 10.0)	(6.0, 14.0)	(7.0, 14.0)	(8.0, 14.0)	(9.0, 39.0)	(10.0, 64.0)	(11.0, 64.0)	(12.0, 64.0)	(13.0, 93.5)	(14.0, 123.0)	(15.0, 123.0)	(16.0, 170.5)	(17.0, 218.0)	(18.0, 218.0)	(19.0, 218.0)	(20.0, 513.0)	(21.0, 808.0)	(22.0, 808.0)	(23.0, 2214.0)	(24.0, 3620.0)	(25.0, 3620.0)	(26.0, 3620.0)	(27.0, 8141.5)	(28.0, 12663.0)	(29.0, 12663.0)	(30.0, 23139.5)	(31.0, 33616.0)	(32.0, 33616.0)	(33.0, 33616.0)	(34.0, 50609.0)	(35.0, 67602.0)	(36.0, 67602.0)	(37.0, 67602.0)	(38.0, 89304.5)	(39.0, 111007.0)	(40.0, 111007.0)	(41.0, 128559.0)	(42.0, 146111.0)	(43.0, 146111.0)	(44.0, 146111.0)	(45.0, 152921.5)	(46.0, 159732.0)	(47.0, 159732.0)	(48.0, 151693.5)	(49.0, 143655.0)	(50.0, 143655.0)	(51.0, 143655.0)	(52.0, 125253.5)	(53.0, 106852.0)	(54.0, 106852.0)	(55.0, 86647.5)	(56.0, 66443.0)	(57.0, 66443.0)	(58.0, 66443.0)	(59.0, 50231.5)	(60.0, 34020.0)	(61.0, 34020.0)	(62.0, 34020.0)	(63.0, 24197.5)	(64.0, 14375.0)	(65.0, 14375.0)	(66.0, 9935.0)	(67.0, 5495.0)	(68.0, 5495.0)	(69.0, 5495.0)	(70.0, 4234.0)	(71.0, 2973.0)	(72.0, 2973.0)	(73.0, 1747.0)	(74.0, 521.0)	(75.0, 521.0)	(76.0, 521.0)	(77.0, 352.5)	(78.0, 184.0)	(79.0, 184.0)	(80.0, 163.0)	(81.0, 142.0)	(82.0, 142.0)	(83.0, 142.0)	(84.0, 101.0)	(85.0, 60.0)	(86.0, 60.0)	(87.0, 60.0)	(88.0, 38.0)	(89.0, 16.0)	(90.0, 16.0)	(91.0, 9.0)	(92.0, 2.0)	(93.0, 2.0)	(94.0, 2.0)	(95.0, 1.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L001_R2_001	(0.0, 2.0)	(1.0, 1.5)	(2.0, 0.5)	(3.0, 0.5)	(4.0, 1.5)	(5.0, 4.0)	(6.0, 5.5)	(7.0, 3.0)	(8.0, 4.5)	(9.0, 6.5)	(10.0, 5.0)	(11.0, 5.0)	(12.0, 12.0)	(13.0, 18.5)	(14.0, 17.5)	(15.0, 24.5)	(16.0, 39.0)	(17.0, 51.0)	(18.0, 67.5)	(19.0, 97.0)	(20.0, 115.0)	(21.0, 158.5)	(22.0, 258.0)	(23.0, 353.0)	(24.0, 423.5)	(25.0, 483.0)	(26.0, 596.5)	(27.0, 743.0)	(28.0, 878.0)	(29.0, 1002.0)	(30.0, 1052.0)	(31.0, 1201.5)	(32.0, 1478.0)	(33.0, 1680.0)	(34.0, 1837.0)	(35.0, 1931.0)	(36.0, 2136.5)	(37.0, 2766.0)	(38.0, 3890.0)	(39.0, 5094.5)	(40.0, 5611.0)	(41.0, 7578.0)	(42.0, 23472.5)	(43.0, 47900.5)	(44.0, 75949.0)	(45.0, 92506.5)	(46.0, 80959.5)	(47.0, 112315.5)	(48.0, 155483.5)	(49.0, 136969.0)	(50.0, 117199.0)	(51.0, 69516.0)	(52.0, 16180.5)	(53.0, 10506.0)	(54.0, 9522.5)	(55.0, 8156.5)	(56.0, 6699.0)	(57.0, 4638.0)	(58.0, 3438.0)	(59.0, 2889.5)	(60.0, 2533.0)	(61.0, 2343.0)	(62.0, 2012.0)	(63.0, 1910.5)	(64.0, 1989.5)	(65.0, 2111.5)	(66.0, 1654.5)	(67.0, 1281.5)	(68.0, 1104.5)	(69.0, 713.5)	(70.0, 666.0)	(71.0, 624.5)	(72.0, 560.0)	(73.0, 428.0)	(74.0, 261.5)	(75.0, 186.0)	(76.0, 131.5)	(77.0, 91.5)	(78.0, 73.5)	(79.0, 41.0)	(80.0, 23.0)	(81.0, 18.0)	(82.0, 11.5)	(83.0, 9.0)	(84.0, 8.0)	(85.0, 7.5)	(86.0, 7.0)	(87.0, 8.0)	(88.0, 6.5)	(89.0, 5.5)	(90.0, 7.0)	(91.0, 7.5)	(92.0, 7.0)	(93.0, 7.5)	(94.0, 9.5)	(95.0, 13.0)	(96.0, 21.0)	(97.0, 23.0)	(98.0, 38.5)	(99.0, 337.5)	(100.0, 618.0)
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L002_I1_001	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 3668.5)	(36.0, 7337.0)	(37.0, 7337.0)	(38.0, 7337.0)	(39.0, 7337.0)	(40.0, 7337.0)	(41.0, 7337.0)	(42.0, 7337.0)	(43.0, 7337.0)	(44.0, 7337.0)	(45.0, 459527.5)	(46.0, 911718.0)	(47.0, 911718.0)	(48.0, 911718.0)	(49.0, 911718.0)	(50.0, 911718.0)	(51.0, 911718.0)	(52.0, 911718.0)	(53.0, 911718.0)	(54.0, 911718.0)	(55.0, 458371.0)	(56.0, 5024.0)	(57.0, 5024.0)	(58.0, 5024.0)	(59.0, 5024.0)	(60.0, 5024.0)	(61.0, 5024.0)	(62.0, 5024.0)	(63.0, 5024.0)	(64.0, 5024.0)	(65.0, 2512.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L002_I2_001	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 5020.5)	(36.0, 10041.0)	(37.0, 10041.0)	(38.0, 10041.0)	(39.0, 10041.0)	(40.0, 10041.0)	(41.0, 10041.0)	(42.0, 10041.0)	(43.0, 10041.0)	(44.0, 10041.0)	(45.0, 460201.0)	(46.0, 910361.0)	(47.0, 910361.0)	(48.0, 910361.0)	(49.0, 910361.0)	(50.0, 910361.0)	(51.0, 910361.0)	(52.0, 910361.0)	(53.0, 910361.0)	(54.0, 910361.0)	(55.0, 457019.0)	(56.0, 3677.0)	(57.0, 3677.0)	(58.0, 3677.0)	(59.0, 3677.0)	(60.0, 3677.0)	(61.0, 3677.0)	(62.0, 3677.0)	(63.0, 3677.0)	(64.0, 3677.0)	(65.0, 1838.5)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L002_R1_001	(0.0, 1.0)	(1.0, 1.0)	(2.0, 1.5)	(3.0, 2.0)	(4.0, 2.0)	(5.0, 12.5)	(6.0, 23.0)	(7.0, 23.0)	(8.0, 23.0)	(9.0, 41.0)	(10.0, 59.0)	(11.0, 59.0)	(12.0, 59.0)	(13.0, 84.5)	(14.0, 110.0)	(15.0, 110.0)	(16.0, 171.5)	(17.0, 233.0)	(18.0, 233.0)	(19.0, 233.0)	(20.0, 537.5)	(21.0, 842.0)	(22.0, 842.0)	(23.0, 2245.0)	(24.0, 3648.0)	(25.0, 3648.0)	(26.0, 3648.0)	(27.0, 8274.0)	(28.0, 12900.0)	(29.0, 12900.0)	(30.0, 23364.0)	(31.0, 33828.0)	(32.0, 33828.0)	(33.0, 33828.0)	(34.0, 51566.0)	(35.0, 69304.0)	(36.0, 69304.0)	(37.0, 69304.0)	(38.0, 90424.0)	(39.0, 111544.0)	(40.0, 111544.0)	(41.0, 130232.5)	(42.0, 148921.0)	(43.0, 148921.0)	(44.0, 148921.0)	(45.0, 155391.0)	(46.0, 161861.0)	(47.0, 161861.0)	(48.0, 153573.5)	(49.0, 145286.0)	(50.0, 145286.0)	(51.0, 145286.0)	(52.0, 126959.0)	(53.0, 108632.0)	(54.0, 108632.0)	(55.0, 88194.0)	(56.0, 67756.0)	(57.0, 67756.0)	(58.0, 67756.0)	(59.0, 51240.0)	(60.0, 34724.0)	(61.0, 34724.0)	(62.0, 34724.0)	(63.0, 24758.5)	(64.0, 14793.0)	(65.0, 14793.0)	(66.0, 10179.0)	(67.0, 5565.0)	(68.0, 5565.0)	(69.0, 5565.0)	(70.0, 4338.0)	(71.0, 3111.0)	(72.0, 3111.0)	(73.0, 1816.0)	(74.0, 521.0)	(75.0, 521.0)	(76.0, 521.0)	(77.0, 348.5)	(78.0, 176.0)	(79.0, 176.0)	(80.0, 163.0)	(81.0, 150.0)	(82.0, 150.0)	(83.0, 150.0)	(84.0, 107.5)	(85.0, 65.0)	(86.0, 65.0)	(87.0, 65.0)	(88.0, 41.5)	(89.0, 18.0)	(90.0, 18.0)	(91.0, 11.5)	(92.0, 5.0)	(93.0, 5.0)	(94.0, 5.0)	(95.0, 3.0)	(96.0, 1.0)	(97.0, 1.0)	(98.0, 0.5)	(99.0, 0.0)	(100.0, 0.0)
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L002_R2_001	(0.0, 0.0)	(1.0, 1.5)	(2.0, 2.0)	(3.0, 1.0)	(4.0, 1.5)	(5.0, 3.0)	(6.0, 6.0)	(7.0, 6.0)	(8.0, 12.0)	(9.0, 14.0)	(10.0, 8.0)	(11.0, 12.5)	(12.0, 14.0)	(13.0, 15.5)	(14.0, 19.5)	(15.0, 21.5)	(16.0, 32.5)	(17.0, 48.5)	(18.0, 80.5)	(19.0, 119.0)	(20.0, 133.0)	(21.0, 176.5)	(22.0, 255.0)	(23.0, 353.0)	(24.0, 435.5)	(25.0, 518.0)	(26.0, 635.0)	(27.0, 727.0)	(28.0, 853.5)	(29.0, 1009.5)	(30.0, 1077.0)	(31.0, 1196.5)	(32.0, 1458.0)	(33.0, 1636.0)	(34.0, 1802.0)	(35.0, 1958.0)	(36.0, 2153.0)	(37.0, 2796.0)	(38.0, 3891.0)	(39.0, 5095.5)	(40.0, 5679.0)	(41.0, 7405.5)	(42.0, 23382.0)	(43.0, 48683.0)	(44.0, 77152.0)	(45.0, 93651.0)	(46.0, 82164.5)	(47.0, 114383.5)	(48.0, 158010.5)	(49.0, 138773.5)	(50.0, 118696.0)	(51.0, 70329.0)	(52.0, 16445.5)	(53.0, 10898.0)	(54.0, 9827.0)	(55.0, 8216.0)	(56.0, 6793.5)	(57.0, 4859.5)	(58.0, 3639.0)	(59.0, 3121.5)	(60.0, 2742.0)	(61.0, 2461.5)	(62.0, 2020.5)	(63.0, 1927.0)	(64.0, 2030.0)	(65.0, 2125.5)	(66.0, 1728.5)	(67.0, 1423.0)	(68.0, 1225.5)	(69.0, 744.5)	(70.0, 612.0)	(71.0, 584.0)	(72.0, 530.0)	(73.0, 420.0)	(74.0, 288.0)	(75.0, 207.5)	(76.0, 142.5)	(77.0, 104.5)	(78.0, 81.0)	(79.0, 45.5)	(80.0, 28.0)	(81.0, 24.0)	(82.0, 16.5)	(83.0, 10.5)	(84.0, 6.5)	(85.0, 6.0)	(86.0, 6.5)	(87.0, 9.5)	(88.0, 10.0)	(89.0, 11.0)	(90.0, 15.0)	(91.0, 12.0)	(92.0, 12.0)	(93.0, 11.0)	(94.0, 8.0)	(95.0, 11.5)	(96.0, 23.5)	(97.0, 32.5)	(98.0, 36.5)	(99.0, 334.5)	(100.0, 628.0)
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L003_I1_001	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 3719.0)	(36.0, 7438.0)	(37.0, 7438.0)	(38.0, 7438.0)	(39.0, 7438.0)	(40.0, 7438.0)	(41.0, 7438.0)	(42.0, 7438.0)	(43.0, 7438.0)	(44.0, 7438.0)	(45.0, 446784.0)	(46.0, 886130.0)	(47.0, 886130.0)	(48.0, 886130.0)	(49.0, 886130.0)	(50.0, 886130.0)	(51.0, 886130.0)	(52.0, 886130.0)	(53.0, 886130.0)	(54.0, 886130.0)	(55.0, 445587.5)	(56.0, 5045.0)	(57.0, 5045.0)	(58.0, 5045.0)	(59.0, 5045.0)	(60.0, 5045.0)	(61.0, 5045.0)	(62.0, 5045.0)	(63.0, 5045.0)	(64.0, 5045.0)	(65.0, 2522.5)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L003_I2_001	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 4805.0)	(36.0, 9610.0)	(37.0, 9610.0)	(38.0, 9610.0)	(39.0, 9610.0)	(40.0, 9610.0)	(41.0, 9610.0)	(42.0, 9610.0)	(43.0, 9610.0)	(44.0, 9610.0)	(45.0, 447843.0)	(46.0, 886076.0)	(47.0, 886076.0)	(48.0, 886076.0)	(49.0, 886076.0)	(50.0, 886076.0)	(51.0, 886076.0)	(52.0, 886076.0)	(53.0, 886076.0)	(54.0, 886076.0)	(55.0, 444501.5)	(56.0, 2927.0)	(57.0, 2927.0)	(58.0, 2927.0)	(59.0, 2927.0)	(60.0, 2927.0)	(61.0, 2927.0)	(62.0, 2927.0)	(63.0, 2927.0)	(64.0, 2927.0)	(65.0, 1463.5)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
