Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L001_I1_001	(11.0, 4.0)	(12.0, 10.0)	(13.0, 27.0)	(14.0, 0.0)	(15.0, 56.0)	(16.0, 149.0)	(17.0, 258.0)	(18.0, 132.0)	(19.0, 390.0)	(20.0, 804.0)	(21.0, 1294.0)	(22.0, 1087.0)	(23.0, 1051.0)	(24.0, 3485.0)	(25.0, 4971.0)	(26.0, 5344.0)	(27.0, 1683.0)	(28.0, 9884.0)	(29.0, 14430.0)	(30.0, 20703.0)	(31.0, 12717.0)	(32.0, 24221.0)	(33.0, 70131.0)	(34.0, 192083.0)	(35.0, 286171.0)	(36.0, 0.0)	(37.0, 259238.0)
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L001_I2_001	(12.0, 1.0)	(13.0, 3.0)	(14.0, 0.0)	(15.0, 14.0)	(16.0, 46.0)	(17.0, 116.0)	(18.0, 79.0)	(19.0, 227.0)	(20.0, 622.0)	(21.0, 1263.0)	(22.0, 1302.0)	(23.0, 993.0)	(24.0, 4014.0)	(25.0, 6126.0)	(26.0, 7394.0)	(27.0, 2047.0)	(28.0, 13762.0)	(29.0, 20302.0)	(30.0, 28759.0)	(31.0, 14933.0)	(32.0, 36124.0)	(33.0, 87617.0)	(34.0, 188775.0)	(35.0, 251245.0)	(36.0, 0.0)	(37.0, 244559.0)	
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L001_R1_001	(20.0, 6.0)	(21.0, 11.0)	(22.0, 26.0)	(23.0, 74.0)	(24.0, 200.0)	(25.0, 438.0)	(26.0, 1072.0)	(27.0, 2218.0)	(28.0, 3864.0)	(29.0, 5866.0)	(30.0, 8661.0)	(31.0, 13151.0)	(32.0, 22059.0)	(33.0, 32120.0)	(34.0, 42401.0)	(35.0, 79715.0)	(36.0, 242938.0)	(37.0, 455503.0)									
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L001_R2_001	(12.0, 1.0)	(13.0, 11.0)	(14.0, 55.0)	(15.0, 78.0)	(16.0, 94.0)	(17.0, 63.0)	(18.0, 68.0)	(19.0, 69.0)	(20.0, 92.0)	(21.0, 160.0)	(22.0, 320.0)	(23.0, 591.0)	(24.0, 847.0)	(25.0, 1336.0)	(26.0, 2056.0)	(27.0, 3159.0)	(28.0, 4815.0)	(29.0, 7079.0)	(30.0, 10289.0)	(31.0, 14601.0)	(32.0, 21795.0)	(33.0, 34367.0)	(34.0, 61141.0)	(35.0, 136858.0)	(36.0, 465029.0)	(37.0, 145349.0)	
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L002_I1_001	(11.0, 3.0)	(12.0, 5.0)	(13.0, 29.0)	(14.0, 0.0)	(15.0, 72.0)	(16.0, 169.0)	(17.0, 273.0)	(18.0, 135.0)	(19.0, 425.0)	(20.0, 809.0)	(21.0, 1341.0)	(22.0, 1144.0)	(23.0, 1030.0)	(24.0, 3456.0)	(25.0, 4658.0)	(26.0, 5200.0)	(27.0, 1613.0)	(28.0, 9114.0)	(29.0, 13309.0)	(30.0, 18888.0)	(31.0, 11706.0)	(32.0, 22839.0)	(33.0, 66223.0)	(34.0, 186600.0)	(35.0, 298862.0)	(36.0, 0.0)	(37.0, 276176.0)
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L002_I2_001	(13.0, 4.0)	(14.0, 0.0)	(15.0, 15.0)	(16.0, 43.0)	(17.0, 116.0)	(18.0, 100.0)	(19.0, 200.0)	(20.0, 703.0)	(21.0, 1334.0)	(22.0, 1323.0)	(23.0, 1127.0)	(24.0, 4065.0)	(25.0, 6255.0)	(26.0, 7652.0)	(27.0, 2105.0)	(28.0, 13754.0)	(29.0, 20576.0)	(30.0, 29666.0)	(31.0, 15733.0)	(32.0, 36967.0)	(33.0, 92763.0)	(34.0, 202172.0)	(35.0, 252400.0)	(36.0, 0.0)	(37.0, 235006.0)		
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L002_R1_001	(19.0, 1.0)	(20.0, 0.0)	(21.0, 7.0)	(22.0, 28.0)	(23.0, 81.0)	(24.0, 156.0)	(25.0, 413.0)	(26.0, 988.0)	(27.0, 2177.0)	(28.0, 3663.0)	(29.0, 5606.0)	(30.0, 8491.0)	(31.0, 12268.0)	(32.0, 20760.0)	(33.0, 29976.0)	(34.0, 39407.0)	(35.0, 73545.0)	(36.0, 238215.0)	(37.0, 488297.0)								
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L002_R2_001	(13.0, 9.0)	(14.0, 64.0)	(15.0, 100.0)	(16.0, 102.0)	(17.0, 73.0)	(18.0, 76.0)	(19.0, 68.0)	(20.0, 101.0)	(21.0, 169.0)	(22.0, 345.0)	(23.0, 634.0)	(24.0, 915.0)	(25.0, 1331.0)	(26.0, 2121.0)	(27.0, 3247.0)	(28.0, 4964.0)	(29.0, 7139.0)	(30.0, 10064.0)	(31.0, 14139.0)	(32.0, 20930.0)	(33.0, 32643.0)	(34.0, 57121.0)	(35.0, 131361.0)	(36.0, 481761.0)	(37.0, 154602.0)		
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L003_I1_001	(11.0, 1.0)	(12.0, 5.0)	(13.0, 33.0)	(14.0, 0.0)	(15.0, 72.0)	(16.0, 156.0)	(17.0, 291.0)	(18.0, 118.0)	(19.0, 414.0)	(20.0, 820.0)	(21.0, 1360.0)	(22.0, 1133.0)	(23.0, 1030.0)	(24.0, 3393.0)	(25.0, 4793.0)	(26.0, 5294.0)	(27.0, 1649.0)	(28.0, 9419.0)	(29.0, 13770.0)	(30.0, 19470.0)	(31.0, 11813.0)	(32.0, 23050.0)	(33.0, 66525.0)	(34.0, 183071.0)	(35.0, 287173.0)	(36.0, 0.0)	(37.0, 263760.0)
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L003_I2_001	(13.0, 4.0)	(14.0, 0.0)	(15.0, 9.0)	(16.0, 41.0)	(17.0, 97.0)	(18.0, 72.0)	(19.0, 190.0)	(20.0, 577.0)	(21.0, 1148.0)	(22.0, 1222.0)	(23.0, 904.0)	(24.0, 3579.0)	(25.0, 5761.0)	(26.0, 6782.0)	(27.0, 1859.0)	(28.0, 12446.0)	(29.0, 18738.0)	(30.0, 26808.0)	(31.0, 13560.0)	(32.0, 33453.0)	(33.0, 81458.0)	(34.0, 177354.0)	(35.0, 249007.0)	(36.0, 0.0)	(37.0, 263544.0)		
