Sample	Unique Reads	Duplicate Reads
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L001_I1_001	35.0	910288.0
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L001_I2_001	36.0	910287.0
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L001_R1_001	876420.0	33903.0
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L001_R2_001	111204.0	799119.0
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L002_I1_001	34.0	924045.0
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L002_I2_001	34.0	924045.0
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L002_R1_001	889146.0	34933.0
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L002_R2_001	110828.0	813251.0
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L003_I1_001	35.0	898578.0
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L003_I2_001	35.0	898578.0
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L003_R1_001	865171.0	33442.0
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L003_R2_001	108877.0	789736.0
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L004_I1_001	35.0	910233.0
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L004_I2_001	35.0	910233.0
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L004_R1_001	876289.0	33979.0
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L004_R2_001	110829.0	799439.0
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L001_I1_001	35.0	937175.0
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L001_I2_001	37.0	937173.0
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L001_R1_001	935596.0	1614.0
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L001_R2_001	631830.0	305380.0
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L002_I1_001	33.0	947984.0
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L002_I2_001	35.0	947982.0
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L002_R1_001	946346.0	1671.0
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L002_R2_001	634356.0	313661.0
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L003_I1_001	35.0	947323.0
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L003_I2_001	35.0	947323.0
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L003_R1_001	945878.0	1480.0
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L003_R2_001	638023.0	309335.0
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L004_I1_001	36.0	941078.0
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L004_I2_001	36.0	941078.0
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L004_R1_001	939614.0	1500.0
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L004_R2_001	633873.0	307241.0
