Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L001_I1_001	(1.0, 0.0)	(2.0, 0.00021970223755743838)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.009557047333748571)	('>50', 0.042841936323700494)	('>100', 0.38370995789406614)	('>500', 0.3675618434335945)	('>1k', 1.3330433263797574)	('>5k', 0.0)	('>10k+', 97.86306618639757)
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L001_I2_001	(1.0, 0.00010985111877871919)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.00043940447511487676)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0007689578314510344)	(8.0, 0.0008788089502297535)	(9.0, 0.0)	('>10', 0.011973771946880393)	('>50', 0.013291985372225024)	('>100', 0.2835257375678743)	('>500', 0.46928397942268846)	('>1k', 1.5676853160911017)	('>5k', 0.0)	('>10k+', 97.65204218722366)
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L001_R1_001	(1.0, 93.08141865452154)	(2.0, 6.054135730464978)	(3.0, 0.4013694949975157)	(4.0, 0.0516714281065289)	(5.0, 0.03469147642301425)	(6.0, 0.015668316062098397)	(7.0, 0.015119001508238503)	(8.0, 0.005780921289274732)	(9.0, 0.01062585512245283)	('>10', 0.10984932706370404)	('>50', 0.04468233293732329)	('>100', 0.08826411580229872)	('>500', 0.0867233457010117)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L001_R2_001	(1.0, 10.07895749859433)	(2.0, 1.933097484404641)	(3.0, 1.0626552172421337)	(4.0, 0.7701574690776052)	(5.0, 0.6264859339453374)	(6.0, 0.4888769348550195)	(7.0, 0.42353960865584234)	(8.0, 0.31537613587233065)	(9.0, 0.3488683787139256)	('>10', 3.900803090039276)	('>50', 1.6646193745434055)	('>100', 5.42618258286746)	('>500', 4.483677926115297)	('>1k', 16.74710971648791)	('>5k', 18.150489596866873)	('>10k+', 33.57910305171861)
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L002_I1_001	(1.0, 0.0)	(2.0, 0.0002164317120073067)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.008765484336295924)	('>50', 0.06655275144224683)	('>100', 0.42117611156621887)	('>500', 0.282226952457528)	('>1k', 1.2001138430805158)	('>5k', 0.0)	('>10k+', 98.02094842540518)
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L002_I2_001	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0006492951360219202)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.009414779472317843)	('>50', 0.029759360401004676)	('>100', 0.2842830537215974)	('>500', 0.613475687684711)	('>1k', 1.4078882866075302)	('>5k', 0.0)	('>10k+', 97.65452953697682)
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L002_R1_001	(1.0, 92.96484924511873)	(2.0, 6.18856918570778)	(3.0, 0.37515654774588636)	(4.0, 0.06091343843962311)	(5.0, 0.034578274053586926)	(6.0, 0.01560581472894167)	(7.0, 0.017784281440537182)	(8.0, 0.008625094328144583)	(9.0, 0.00452678551909378)	('>10', 0.09812565204052198)	('>50', 0.051934487173075576)	('>100', 0.09053297868375387)	('>500', 0.08879821502035261)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L002_R2_001	(1.0, 9.875899135598315)	(2.0, 1.9559761874515844)	(3.0, 1.021181180835491)	(4.0, 0.7606139936867716)	(5.0, 0.5722075878015944)	(6.0, 0.5060435849017336)	(7.0, 0.39257895568114803)	(8.0, 0.3568505896097805)	(9.0, 0.3205808846585437)	('>10', 3.8575808579479607)	('>50', 1.6057193854680383)	('>100', 5.4036446988544125)	('>500', 4.324864579051059)	('>1k', 16.591711864663235)	('>5k', 17.605314783330336)	('>10k+', 34.84923173046)
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L003_I1_001	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0005564130498891069)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0010015434898003924)	('>10', 0.0)	('>50', 0.04607100053081805)	('>100', 0.4966542883310168)	('>500', 0.29812611213058343)	('>1k', 1.259719144948938)	('>5k', 0.0)	('>10k+', 97.89787149751895)
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L003_I2_001	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0003338478299334641)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.026707826394677132)	('>50', 0.01869547847627399)	('>100', 0.31203643837781114)	('>500', 0.6076030504789047)	('>1k', 1.283978753924103)	('>5k', 0.0)	('>10k+', 97.7506446045183)
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L003_R1_001	(1.0, 93.07663355997488)	(2.0, 6.092605049988906)	(3.0, 0.3662642405485525)	(4.0, 0.0623612765323707)	(5.0, 0.02608511582614681)	(6.0, 0.019646993683434005)	(7.0, 0.008277293197147593)	(8.0, 0.005805433819654711)	(9.0, 0.009151114516231598)	('>10', 0.10064227445916252)	('>50', 0.03630460396065434)	('>100', 0.09967061516805409)	('>500', 0.0965524283248077)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L003_R2_001	(1.0, 9.984463005879078)	(2.0, 1.9619076215963038)	(3.0, 1.0211555671954702)	(4.0, 0.7596188435798027)	(5.0, 0.6129388367679671)	(6.0, 0.5132620210515801)	(7.0, 0.418151698555026)	(8.0, 0.33016074522780453)	(9.0, 0.3273797416460339)	('>10', 3.8842833227306195)	('>50', 1.6381223498061488)	('>100', 5.27556379461881)	('>500', 4.466291752323569)	('>1k', 16.93397576997421)	('>5k', 17.107844113906506)	('>10k+', 34.76488081514107)
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L004_I1_001	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0035154481976736518)	('>50', 0.04482196452033906)	('>100', 0.5116075705176937)	('>500', 0.3178184886209336)	('>1k', 1.3192817939332153)	('>5k', 0.0)	('>10k+', 97.80295473421015)
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L004_I2_001	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.00043943102470920647)	(5.0, 0.0)	(6.0, 0.0006591465370638098)	(7.0, 0.0)	(8.0, 0.0008788620494184129)	(9.0, 0.0)	('>10', 0.007580185176233813)	('>50', 0.027025008019616204)	('>100', 0.3697812072927973)	('>500', 0.5489592076179762)	('>1k', 1.4238663778140066)	('>5k', 0.0)	('>10k+', 97.62081057446818)
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L004_R1_001	(1.0, 93.05864417613947)	(2.0, 6.1029291917191735)	(3.0, 0.37352171399270784)	(4.0, 0.055184810836325586)	(5.0, 0.02601316173496783)	(6.0, 0.02088603569383127)	(7.0, 0.005496318633911188)	(8.0, 0.015892726939249105)	(9.0, 0.006069911273888634)	('>10', 0.0945166005530603)	('>50', 0.052458097321727515)	('>100', 0.09468851529142011)	('>500', 0.09369873987025544)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L004_R2_001	(1.0, 10.05172355109048)	(2.0, 1.9298099038797547)	(3.0, 1.0345451281179903)	(4.0, 0.742782531835927)	(5.0, 0.5937982337884045)	(6.0, 0.4963407387781362)	(7.0, 0.4544846472609893)	(8.0, 0.3541838295309232)	(9.0, 0.34111066708855975)	('>10', 3.9166755243289315)	('>50', 1.6429339859289567)	('>100', 5.227836816342445)	('>500', 4.56088581476607)	('>1k', 16.932711542574523)	('>5k', 17.04509679617568)	('>10k+', 34.67508028851223)
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L001_I1_001	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0003200990172960169)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.016004950864800846)	('>50', 0.06145901132083525)	('>100', 0.21126535141537117)	('>500', 0.29129010573937536)	('>1k', 1.9855742042871927)	('>5k', 0.0)	('>10k+', 97.43408627735512)
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L001_I2_001	(1.0, 0.00021339934486401128)	(2.0, 0.00021339934486401128)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0005334983621600282)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.013657558071296722)	('>50', 0.016751848571824886)	('>100', 0.41058033951835765)	('>500', 0.2903298086874873)	('>1k', 1.1559842511283491)	('>5k', 0.0)	('>10k+', 98.1117358969708)
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L001_R1_001	(1.0, 99.69473118669872)	(2.0, 0.25660600558986574)	(3.0, 0.008915437381272574)	(4.0, 0.001174857071873875)	(5.0, 0.001237256339432475)	(6.0, 0.0026032101070431394)	(7.0, 0.001367876219444732)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.00718836514828701)	('>50', 0.009936122066530882)	('>100', 0.01623968337755585)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L001_R2_001	(1.0, 59.59745191573616)	(2.0, 7.684874925178953)	(3.0, 3.865735765431465)	(4.0, 2.742555991123849)	(5.0, 2.1193904840447724)	(6.0, 1.6963914768177577)	(7.0, 1.4642782536003784)	(8.0, 1.2757590881136844)	(9.0, 1.1466308664065499)	('>10', 13.338664392597616)	('>50', 2.608779924518173)	('>100', 1.792880048128399)	('>500', 0.17502966122570238)	('>1k', 0.49157720707657626)	('>5k', 0.0)	('>10k+', 0.0)
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L002_I1_001	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.011814134134725431)	('>50', 0.06814223795564847)	('>100', 0.1890261461556069)	('>500', 0.2952478700276472)	('>1k', 1.7977525719475493)	('>5k', 0.0)	('>10k+', 97.63801703977883)
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L002_I2_001	(1.0, 0.0)	(2.0, 0.00042193336195447967)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.010759300729839234)	('>50', 0.042087852854959355)	('>100', 0.29767398685888546)	('>500', 0.38026744246147487)	('>1k', 1.1432284442156628)	('>5k', 0.0)	('>10k+', 98.12556103951722)
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L002_R1_001	(1.0, 99.68999810486622)	(2.0, 0.2553847521977536)	(3.0, 0.010017322027947181)	(4.0, 0.0058635364161093205)	(5.0, 0.0)	(6.0, 0.0025956243370509583)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.001499488733300429)	('>10', 0.0083351651750934)	('>50', 0.008979961971704047)	('>100', 0.01732604427481722)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L002_R2_001	(1.0, 58.97146634087529)	(2.0, 7.793688706360948)	(3.0, 4.03697826247412)	(4.0, 2.8012572467557972)	(5.0, 2.054871528036936)	(6.0, 1.7151476540571489)	(7.0, 1.4793284873977246)	(8.0, 1.2685345575849387)	(9.0, 1.1398038442877199)	('>10', 13.6614451025598)	('>50', 2.5721491565805237)	('>100', 1.833033555374004)	('>500', 0.17338649387549698)	('>1k', 0.4989090637795551)	('>5k', 0.0)	('>10k+', 0.0)
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L003_I1_001	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0003166701500383171)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0007388970167560732)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.015411280635198098)	('>50', 0.041694903088378414)	('>100', 0.24161932447923593)	('>500', 0.3304980799233236)	('>1k', 1.903715385313683)	('>5k', 0.0)	('>10k+', 97.46600545939339)
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L003_I2_001	(1.0, 0.00010555671667943902)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.021111343335887805)	('>50', 0.01646684780199249)	('>100', 0.4016433069652655)	('>500', 0.26684737976562184)	('>1k', 1.1250234863694613)	('>5k', 0.0)	('>10k+', 98.1688020790451)
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L003_R1_001	(1.0, 99.72793079489529)	(2.0, 0.22162421658870954)	(3.0, 0.008904684061353396)	(4.0, 0.0)	(5.0, 0.0049374698825174375)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0014305147421134006)	(9.0, 0.0)	('>10', 0.011928064941586283)	('>50', 0.007501554986725974)	('>100', 0.015742699901720707)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L003_R2_001	(1.0, 59.562944971734076)	(2.0, 7.576155063891877)	(3.0, 3.985778597730147)	(4.0, 2.6627050465607067)	(5.0, 2.1336296920526197)	(6.0, 1.7144146695686941)	(7.0, 1.511462940387974)	(8.0, 1.2394574894065047)	(9.0, 1.0992521594606655)	('>10', 13.442362191136398)	('>50', 2.658368921668421)	('>100', 1.7566569502155787)	('>500', 0.1738649136626054)	('>1k', 0.4829463925237482)	('>5k', 0.0)	('>10k+', 0.0)
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L004_I1_001	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.000531285264059402)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0076505078024553886)	('>50', 0.04611556092035609)	('>100', 0.2773309078390078)	('>500', 0.33895999846989844)	('>1k', 1.937384843919015)	('>5k', 0.0)	('>10k+', 97.39202689578521)
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L004_I2_001	(1.0, 0.00010625705281188038)	(2.0, 0.00021251410562376076)	(3.0, 0.00031877115843564115)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.010413191175564279)	('>50', 0.040165165962890784)	('>100', 0.42694083819813544)	('>500', 0.30208880114417597)	('>1k', 1.169996408511615)	('>5k', 0.0)	('>10k+', 98.04975805269075)
