Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L001_I1_001	SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L001_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	910323.0	9.1 Mbp	0.0	10.0	49.0	0.003844789157255172	10.0	10	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	warn
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L001_I2_001	SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L001_I2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	910323.0	9.1 Mbp	0.0	10.0	49.0	0.003954640276033891	10.0	10	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	warn
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L001_R1_001	SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	910323.0	25.4 Mbp	0.0	28.0	46.0	96.27564378237707	28.0	28	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L001_R2_001	SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	910323.0	81.9 Mbp	0.0	90.0	47.0	12.215881849832524	90.0	90	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L002_I1_001	SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L002_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	924079.0	9.2 Mbp	0.0	10.0	49.0	0.0036793391041242142	10.0	10	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	warn
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L002_I2_001	SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L002_I2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	924079.0	9.2 Mbp	0.0	10.0	49.0	0.0036793391041242142	10.0	10	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	warn
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L002_R1_001	SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	924079.0	25.8 Mbp	0.0	28.0	46.0	96.21966202794732	28.0	28	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L002_R2_001	SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	924079.0	83.1 Mbp	0.0	90.0	47.0	11.993334905123815	90.0	90	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L003_I1_001	SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L003_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	898613.0	8.9 Mbp	0.0	10.0	49.0	0.003894891349223748	10.0	10	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L003_I2_001	SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L003_I2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	898613.0	8.9 Mbp	0.0	10.0	49.0	0.003894891349223748	10.0	10	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	warn
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L003_R1_001	SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	898613.0	25.1 Mbp	0.0	28.0	46.0	96.27844106531059	28.0	28	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L003_R2_001	SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	898613.0	80.8 Mbp	0.0	90.0	47.0	12.116094125127868	90.0	90	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L004_I1_001	SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L004_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	910268.0	9.1 Mbp	0.0	10.0	49.0	0.0038450214662055573	10.0	10	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L004_I2_001	SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L004_I2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	910268.0	9.1 Mbp	0.0	10.0	49.0	0.0038450214662055573	10.0	10	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L004_R1_001	SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L004_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	910268.0	25.4 Mbp	0.0	28.0	46.0	96.26709993692185	28.0	28	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L004_R2_001	SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L004_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	910268.0	81.9 Mbp	0.0	90.0	47.0	12.175346060006852	90.0	90	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L001_I1_001	SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L001_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	937210.0	9.3 Mbp	0.0	10.0	59.0	0.003734488535120197	10.0	10	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	warn
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L001_I2_001	SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L001_I2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	937210.0	9.3 Mbp	0.0	10.0	29.0	0.0039478878799842085	10.0	10	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	warn
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L001_R1_001	SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	937210.0	26.2 Mbp	0.0	28.0	45.0	99.82775324947407	28.0	28	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L001_R2_001	SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	937210.0	84.3 Mbp	0.0	90.0	47.0	67.41603463100813	90.0	90	pass	pass	pass	pass	warn	pass	pass	pass	warn	warn	pass
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L002_I1_001	SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L002_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	948017.0	9.4 Mbp	0.0	10.0	59.0	0.0034809502361244577	10.0	10	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L002_I2_001	SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L002_I2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	948017.0	9.4 Mbp	0.0	10.0	29.0	0.0036919169171016975	10.0	10	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	warn
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L002_R1_001	SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	948017.0	26.5 Mbp	0.0	28.0	45.0	99.8236540800255	28.0	28	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L002_R2_001	SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	948017.0	85.3 Mbp	0.0	90.0	47.0	66.91397941292003	90.0	90	pass	pass	warn	pass	warn	pass	pass	pass	warn	warn	pass
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L003_I1_001	SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L003_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	947358.0	9.4 Mbp	0.0	10.0	59.0	0.003694485083780366	10.0	10	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	warn
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L003_I2_001	SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L003_I2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	947358.0	9.4 Mbp	0.0	10.0	29.0	0.003694485083780366	10.0	10	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	warn
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L003_R1_001	SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	947358.0	26.5 Mbp	0.0	28.0	45.0	99.84375856503512	28.0	28	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L003_R2_001	SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	947358.0	85.2 Mbp	0.0	90.0	47.0	67.34751625588797	90.0	90	pass	pass	pass	pass	warn	pass	pass	pass	warn	warn	pass
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L004_I1_001	SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L004_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	941114.0	9.4 Mbp	0.0	10.0	59.0	0.0037189968484158138	10.0	10	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	warn
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L004_I2_001	SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L004_I2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	941114.0	9.4 Mbp	0.0	10.0	29.0	0.0038252539012276943	10.0	10	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L004_R1_001	SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L004_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	941114.0	26.3 Mbp	0.0	28.0	45.0	99.84050990404181	28.0	28	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L004_R2_001	SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L004_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	941114.0	84.7 Mbp	0.0	90.0	47.0	67.35341400154734	90.0	90	pass	pass	pass	pass	warn	pass	pass	pass	warn	warn	pass
