Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L001_I1_001	99.99615521084274	49.0	10.0	10	36.36363636363637	0.910323
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L001_I2_001	99.99604535972396	49.0	10.0	10	36.36363636363637	0.910323
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L001_R1_001	3.724356217622926	46.0	28.0	28	0.0	0.910323
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L001_R2_001	87.78411815016747	47.0	90.0	90	36.36363636363637	0.910323
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L002_I1_001	99.99632066089588	49.0	10.0	10	36.36363636363637	0.924079
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L002_I2_001	99.99632066089588	49.0	10.0	10	36.36363636363637	0.924079
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L002_R1_001	3.7803379720526777	46.0	28.0	28	0.0	0.924079
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L002_R2_001	88.00666509487618	47.0	90.0	90	36.36363636363637	0.924079
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L003_I1_001	99.99610510865078	49.0	10.0	10	36.36363636363637	0.898613
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L003_I2_001	99.99610510865078	49.0	10.0	10	36.36363636363637	0.898613
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L003_R1_001	3.721558934689412	46.0	28.0	28	0.0	0.898613
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L003_R2_001	87.88390587487213	47.0	90.0	90	36.36363636363637	0.898613
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L004_I1_001	99.9961549785338	49.0	10.0	10	36.36363636363637	0.910268
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L004_I2_001	99.9961549785338	49.0	10.0	10	36.36363636363637	0.910268
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L004_R1_001	3.732900063078148	46.0	28.0	28	0.0	0.910268
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L004_R2_001	87.82465393999314	47.0	90.0	90	36.36363636363637	0.910268
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L001_I1_001	99.99626551146488	59.0	10.0	10	27.27272727272727	0.93721
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L001_I2_001	99.99605211212001	29.0	10.0	10	36.36363636363637	0.93721
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L001_R1_001	0.17224675052592886	45.0	28.0	28	0.0	0.93721
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L001_R2_001	32.58396536899187	47.0	90.0	90	0.0	0.93721
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L002_I1_001	99.99651904976388	59.0	10.0	10	36.36363636363637	0.948017
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L002_I2_001	99.9963080830829	29.0	10.0	10	36.36363636363637	0.948017
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L002_R1_001	0.17634591997449434	45.0	28.0	28	0.0	0.948017
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L002_R2_001	33.08602058707997	47.0	90.0	90	0.0	0.948017
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L003_I1_001	99.99630551491622	59.0	10.0	10	27.27272727272727	0.9473579999999999
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L003_I2_001	99.99630551491622	29.0	10.0	10	36.36363636363637	0.9473579999999999
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L003_R1_001	0.1562414349648833	45.0	28.0	28	0.0	0.9473579999999999
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L003_R2_001	32.65248374411203	47.0	90.0	90	0.0	0.9473579999999999
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L004_I1_001	99.99628100315158	59.0	10.0	10	27.27272727272727	0.941114
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L004_I2_001	99.99617474609877	29.0	10.0	10	36.36363636363637	0.941114
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L004_R1_001	0.15949009595819064	45.0	28.0	28	0.0	0.941114
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L004_R2_001	32.646585998452665	47.0	90.0	90	0.0	0.941114
